title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Targeting NAT10 alleviates colonic senescence and elderly-onset colitis by disrupting N4-acetylation of DYRK1A,https://www.nature.com/articles/s41467-026-70220-w,Nature Communications,2026-03-01 00:00:00 UTC,2026-03-01 00:00:00+00:00,10.1038/s41467-026-70220-w,Shujie Chen,"Intestinal aging characterized by imbalance between cell senescence and mucosal self-renewal, increases susceptibility to the elderly-onset ulcerative colitis (UC), while the underlying mechanisms remain elusive. Here, we identify mRNA N4-acetylcytidine (ac4C) modification and its specific writer, N-acetyltransferase 10 (NAT10), as critical regulators of human colonic epithelial cell senescence. Knockdown of NAT10 significantly alleviates human colonic epithelial cell senescence in vitro and colonoid and intestinal aging in vivo in aged mice. Using ac4C-modified transcriptome sequencing, we reveal that NAT10 stabilizes DYRK1A mRNA through ac4C modification, thereby driving colon epithelial senescence. Moreover, NAT10 and DYRK1A are markedly upregulated in ulcerative colitis tissues from elderly patients and positively correlate with disease severity. Knockdown of NAT10, treatment with Nat10 or Dyrk1a inhibitor, alleviates colitis in aged mice. Collectively, these findings suggest that modulating NAT10-mediated RNA ac4C modification could rejuvenate intestinal aging and provide a novel therapeutic strategy for elderly-onset colitis.",nature_html,0
[ASAP] Tuning the Microstructure and Functional Groups of Coal-Derived Hard Carbons by Urea Additives for 165 Wh kg–1 Sodium Ion Pouch Cells,http://dx.doi.org/10.1021/acsenergylett.5c03861,ACS Energy Letters: Latest Articles (ACS Publications),2026-03-01 14:56:05 UTC,2026-03-01 14:56:05+00:00,10.1021/acsenergylett.5c03861,Jianyu Huang,"Optimizing the microstructure and functional groups of hard carbon (HC) is critical to enhancing its sodium ion (Na+) storage performance. Herein, the microstructure and functional groups of HC are modified through the carbonization of urea additives in coal. The as-received HC contains rich electronegative functional groups (pyrrolic-N, pyridinic-N,, oxidized-N, and C═O) with Na+ affinity, pseudographitic nanocrystals with short lateral dimension but thick graphitic layers, and closed pores with an average diameter of 2.5 nm that exhibit an “adsorption-intercalation/pore-filling” Na+ storage mechanism. The HC half-cell delivers a reversible capacity of 356.0 mAh g–1 at 25 °C and 458.4 mAh g–1 at 60 °C at 0.1C. The full cell with a Na3V2(PO4)3 cathode shows a capacity retention of 91.2% after 2000 cycles at 5C. The 1.2 Ah pouch cell with a NaNi1/3Fe1/3Mn1/3O2 cathode exhibits an energy density of 165 Wh kg–1. This work contributes to our understanding of sodium storage mechanisms and offers guidance for the design of carbon-based anodes for sodium-ion batteries.",openalex,0
[ASAP] Molecular Design with Artificial Intelligence: Progress and Perspectives for Small Molecules,http://dx.doi.org/10.1021/acs.chemrev.5c00689,Chemical Reviews: Latest Articles (ACS Publications),2026-03-01 14:57:49 UTC,2026-03-01 14:57:49+00:00,10.1021/acs.chemrev.5c00689,Koji Tsuda,"Progress in chemistry has been driven by the streamlining of inverse problem-solving methods. In the history of chemistry, several revolutionary technologies have led to leaps forward: the establishment of atomistic theory in the 19th century, structural analysis by spectroscopy in the 20th century, and the development of simulation by theoretical chemistry. Currently, chemistry is about to make a significant leap forward by integrating generative artificial intelligence (AI). In 2016, deep learning techniques were introduced in this domain, leading to explosive development. This paper reviews the development path, including traditional models such as variational autoencoders and more up-to-date models such as large language models and diffusion models. We also discuss how AI can have a real impact on chemistry, including the possibilities and problems associated with synthesizing AI-generated molecules.",openalex,0
"[ASAP] Switchable and Selective Synthesis of Unsymmetrical N-Aryl Pyrazoles from 1,2,3-Thiadiazine S-Oxides",http://dx.doi.org/10.1021/jacs.5c22914,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-03-01 17:50:28 UTC,2026-03-01 17:50:28+00:00,10.1021/jacs.5c22914,Mark D. Levin,"Herein, we report a new, highly selective copper-catalyzed synthesis of unsymmetrical N-aryl pyrazoles from 1,2,3-thiadiazine S-oxides (TDSOs) and diaryl iodonium electrophiles. The regiochemical outcome is determined by the choice of the copper catalyst and base, in contrast with typical substrate-controlled approaches. This ""switchable"" approach enables access to either pyrazole isomer from a given starting material, with high selectivity observed in each case. The scope of both protocols is broad and amenable to automation, thus facilitating the rapid generation of a medicinally relevant, diverse pyrazole library. Experimental and computational mechanistic studies reveal the origin of selectivity for each protocol and rationalize the role of base identity, base concentration, and copper ligation state in determining the regiochemical outcome. Overall, this approach addresses long-standing synthetic challenges in the preparation of unsymmetrical N-aryl pyrazoles and provides important mechanistic foundations for the development of further switchable pyrazole syntheses.",pubmed,0
[ASAP] Ligand-Driven Tuning of Adsorption Energy in Nanocrystals for High-Performance H2O2 Electrosynthesis,http://dx.doi.org/10.1021/jacs.5c13062,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-03-01 19:00:14 UTC,2026-03-01 19:00:14+00:00,10.1021/jacs.5c13062,Min-Jae Choi,"Surface ligands modulate the electronic structure of nanocrystals (NCs); however, in catalytic applications, these ligands are often removed due to concerns about blocking active sites. We studied herein whether ligand functionality and a judiciously chosen degree of ligand coverage can precisely tune the adsorption energy of key intermediates on NC catalysts. Guided by density functional theory calculations, we introduced electron-withdrawing ligands at an optimized coverage on Ag2S NCs, achieving an ideal balance in intermediate adsorption strength (ΔGOOH* = 4.16 eV). This turned Ag2S NCs─intrinsically inactive for the two-electron oxygen reduction reaction─into efficient H2O2 electrocatalysts. When integrated onto oxidized carbon nanotube supports, these catalysts exhibited a stable H2O2 production of 161 mg cm-2 h-1 with a Faradaic efficiency of 84% at 300 mA cm-2 in neutral media. This ligand-driven tuning strategy opens new avenues to control and enhance the catalytic properties of NCs.",pubmed,0
Single atoms of indium on hafnia enable superior CO2-based methanol synthesis,https://www.nature.com/articles/s41565-026-02135-y,Nature Nanotechnology,2026-03-02 00:00:00 UTC,2026-03-02 00:00:00+00:00,10.1038/s41565-026-02135-y,Javier Pérez-Ramírez,"Indium–zirconium oxides rank among the most selective and stable catalysts for CO2 hydrogenation to methanol. Yet, despite extensive research, the mechanistic origin of the exceptional role of monoclinic zirconia remains unresolved and continues to set the benchmark in the field. Here we show that monoclinic hafnia, a wide-bandgap oxide rarely explored in catalysis, can outperform this benchmark. Nanostructured indium–hafnium oxides synthesized via flame spray pyrolysis achieve up to 70% higher indium-specific methanol productivity than indium–zirconium oxides, with the largest gains observed for single atoms of indium. Experimental and theoretical analyses reveal that a combination of stable monoclinic support surfaces, flexible chemical potential of indium single atoms and the presence of a cooperative hydride–proton reservoir collectively enhance CO2 activation and intermediate hydrogenation. Crucially, the precise control of surface hydroxylation is required. These findings establish a new benchmark for green methanol synthesis and provide generalizable design principles for next-generation oxide supports in single-atom catalysis.",nature_html,0
Earth's oldest crystals suggest an early start for plate tectonics,https://www.nature.com/articles/d41586-026-00628-3,Nature,2026-03-02 00:00:00 UTC,2026-03-02 00:00:00+00:00,10.1038/d41586-026-00628-3,Alexandra Witze,,,0
The promise of transparent wood as a multifunctional energy material,https://www.nature.com/articles/s41578-026-00901-x,Nature Reviews Materials,2026-03-02 00:00:00 UTC,2026-03-02 00:00:00+00:00,10.1038/s41578-026-00901-x,Daniele Nuvoli,,,0
Ferroelectric-to-paraelectric phase engineering for two-dimensional layered ultra-high-κ dielectrics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag126/8503499?rss=1,National Science Review Advance Access,2026-03-02 00:00:00 UTC,2026-03-02 00:00:00+00:00,10.1093/nsr/nwag126,Yang Chai,"The progress of 2D electronic devices urgently requires van der Waals (vdW) dielectric layers that combine high dielectric constant, ultralow leakage, and atomically smooth interfaces. 2D ferroelectrics typically exhibit high dielectric constant due to ionic displacement-driven polarization, but their pronounced remnant polarization and hysteretic switching behavior induce non-volatile states that fundamentally conflict with digital electronics. Landau theory dictates a ferroelectric-paraelectric transition at Curie temperature (T",rss_oup,0
Steering mass transport with topologically protected sound,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag121/8503495?rss=1,National Science Review Advance Access,2026-03-02 00:00:00 UTC,2026-03-02 00:00:00+00:00,10.1093/nsr/nwag121,Zhengyou Liu,,,0
