title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
[ASAP] Chemical Origin and Transport Limits of Current Multiplication in BiVO4 Photoanodes for Glycerol Oxidation,http://dx.doi.org/10.1021/acsenergylett.6c00459,ACS Energy Letters: Latest Articles (ACS Publications),2026-04-07 11:12:11 UTC,2026-04-07 11:12:11+00:00,10.1021/acsenergylett.6c00459,Shuang-Feng Yin,"Current multiplication, where more than one electron transfer per photon is absorbed, has the potential to transform photoelectrochemical solar fuel generation. Yet it remains rarely realized, largely because the underlying chemical pathways enabling this process are poorly understood and key bottlenecks are still unidentified. Here on the BiVO4 photoanode, we reveal direct evidence of vanadium-mediated current-multiplication pathway. During glycerol oxidation, reactive intermediates spontaneously inject electrons directly into the BiVO4 conduction band through surface V5+ reduction, thereby enabling single-photon-driven multiple-electron transfer. More importantly, we identify poor electron transport─independent of classical hole–electron separation─as a critical bottleneck limiting current multiplication. Mo doping significantly enhances electron transport and promotes efficient extraction of the injected electrons, thereby unlocking the current-multiplication potential of BiVO4.",openalex,1
[ASAP] Synergistic Additive Strategy Enables Sub-100 °C Fabrication of CsPbI3 Films for Efficient and Stable All-Inorganic Perovskite Solar Cells,http://dx.doi.org/10.1021/acsenergylett.6c00044,ACS Energy Letters: Latest Articles (ACS Publications),2026-04-07 18:20:52 UTC,2026-04-07 18:20:52+00:00,10.1021/acsenergylett.6c00044,Jianxi Yao,"All-inorganic CsPbI3 perovskite holds promise for photovoltaics owing to its optoelectronic properties and thermal stability. However, its high nucleation barrier and thermodynamic instability hinder low-temperature crystallization, limiting compatibility with flexible and tandem devices. Herein, a synergistic additive strategy combining lead acetate (PbAc2) and ammonium benzenesulfonate (ABS) enables the fabrication of γ-CsPbI3 below 100 °C. Acetate anions lower the nucleation energy barrier, while tailored ABS analogs stabilize the γ-phase via chelation and steric hindrance, suppressing octahedral tilting. This work establishes a mechanistic framework linking additive chemistry to the low-temperature crystallization of CsPbI3 perovskite, providing guidance for the rational design of all-inorganic perovskite formulations toward flexible and tandem photovoltaics. This approach achieves a record power conversion efficiency (PCE) of 16.33% for CsPbI3 solar cells processed at temperatures below 100 °C, and retains 91% of the initial PCE after 600 h in dry air. Furthermore, flexible devices reach 13.53% PCE, demonstrating direct compatibility with flexible substrates.",openalex,1
"[ASAP] Structural Evolution and Thermal Behavior of High-Ni Cathodes: Coupled Operando XAS, XRD, and Mass Spectrometry Analysis",http://dx.doi.org/10.1021/acsenergylett.6c00367,ACS Energy Letters: Latest Articles (ACS Publications),2026-04-07 19:12:46 UTC,2026-04-07 19:12:46+00:00,10.1021/acsenergylett.6c00367,Chunzhen Yang,"Understanding the intrinsic thermal instability of Ni-rich cathodes is critical for elucidating the thermal runaway mechanisms in lithium-ion batteries. Here, we investigate the thermally induced decomposition of Ni-rich cathodes under electrolyte-free conditions using time-resolved operando approaches, including X-ray diffraction (XRD), X-ray absorption spectroscopy (XAS), and online mass spectrometry (OMS). The results reveal a coupled evolution of oxygen release, Ni redox, and structural transformations during heating. Oxygen release is initiated prior to detectable bulk phase transition and correlates with early structural disorder, as tracked by the evolution of the (003)L and (104)L reflections. Deep delithiation at 4.8 V (∼95% SOC) accelerates Ni reduction and amplifies structural instability, leading to approximately 3-fold higher early stage oxygen release compared with the 4.3 V (∼85% SOC) condition. These findings establish a coupling-based framework for understanding cathode-driven thermal instability and provide guidance for improving battery safety.",openalex,1
Biodiversity resilience in a tropical rainforest,https://www.nature.com/articles/s41586-026-10365-2,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10365-2,Nico Blüthgen,"The UN Decade on Ecosystem Restoration aims to stop biodiversity losses1. Approximately 60% of tropical forests have already been lost or severely degraded2, making restoration essential to achieve conservation goals. Recovery trajectories of trees have been studied intensively3,4, but a comprehensive understanding of biodiversity recovery is lacking. Here we analyse recovery trajectories across trophic levels including 16 taxonomic groups from three kingdoms in a lowland tropical forest by investigating resistance to perturbation, recovery times and return rates to old-growth forest conditions. Abundance and diversity regained more than 90% and composition approximately 75% similarity to old-growth forests within 30 years, but full recovery takes several decades. Mobile animal communities acting as seed dispersers or pollinators had high resistance levels and recovered faster than trees or tree seedlings. Return rates contributed 1–2.5 times more than resistance to the recovery times of species composition. Taxon-specific recovery times could not be explained by simple mechanisms (life-history strategies, trophic level or mobility). We show the enormous potential of protecting naturally recovering secondary forests to stop and reverse biodiversity losses.",nature_html,0
Protected quantum gates using qubit doublons in dynamical optical lattices,https://www.nature.com/articles/s41586-026-10285-1,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10285-1,Tilman Esslinger,"Quantum computing represents a central challenge in modern science. Neutral atoms in optical lattices have emerged as a leading computing platform, with collisional gates offering a stable mechanism for quantum logic1,2,3,4,5,6,7,8,9,10. However, previous experiments have treated ultracold collisions as a dynamically fine-tuned process11,12,13,14,15,16,17,18,19,20,21,22, which obscures the underlying quantum geometry and quantum statistics crucial for realizing intrinsically robust operations. Here we propose and experimentally demonstrate a purely geometric two-qubit SWAP gate by transiently populating qubit doublon states of fermionic atoms in a dynamical optical lattice. The presence of these doublon states, together with fermionic exchange anti-symmetry, enables a two-particle quantum holonomy—a geometric evolution in which dynamical phases are absent23. This yields a gate mechanism that is intrinsically protected against fluctuations and inhomogeneities of the confining potentials. The resilience of the gate is further reinforced by time-reversal and chiral symmetries of the Hamiltonian. We experimentally validate this exceptional protection, achieving a loss-corrected amplitude fidelity of 99.91(7)% measured across the entire system consisting of more than 17,000 atom pairs. When combined with recently developed topological pumping methods for atom transport16, our results pave the way for large-scale, highly connected quantum processors. This work introduces a new model for quantum logic that transforms fundamental symmetries, including quantum statistics, into a powerful resource for fault-tolerant computation.",nature_html,0
Saturation editing of RNU4-2 reveals distinct dominant and recessive disorders,https://www.nature.com/articles/s41586-026-10334-9,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10334-9,Gregory M. Findlay,"Recently, de novo variants in an 18-nucleotide region in the centre of RNU4-2 were shown to cause ReNU syndrome, a syndromic neurodevelopmental disorder that is predicted to affect tens of thousands of individuals worldwide1,2. RNU4-2 is a non-protein-coding gene that is transcribed into the U4 small nuclear RNA component of the major spliceosome3. ReNU syndrome variants disrupt spliceosome function and alter 5′ splice site selection1,4. Here we performed saturation genome editing (SGE) of RNU4-2 to identify the functional and clinical impact of variants across the entire gene. The resulting SGE function scores, derived from variants’ effects on cell fitness, discriminate ReNU syndrome variants from those observed in the population and markedly outperform in silico variant effect prediction. Using these data, we redefine the ReNU syndrome critical region at single-nucleotide resolution, resolve variant pathogenicity for variants of uncertain significance and show that SGE function scores delineate variants by phenotypic severity and the extent of observed splicing disruption. Furthermore, we identify variants affecting function in regions of RNU4-2 that are critical for interactions with other spliceosome components. We show that these variants cause a new recessive neurodevelopmental disorder that is distinct from ReNU syndrome. Together, this work defines the landscape of variant function across RNU4-2, providing critical insights for both diagnosis and therapeutic development.",nature_html,0
The importance of competition and facilitation for global tree diversity,https://www.nature.com/articles/s41586-026-10349-2,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10349-2,Fangliang He,"Although competition and facilitation both influence tree diversity1,2,3,4,5, their relative importance and variation with latitude remain poorly understood. Using data from 17 large forest plots, including around 2.7 million trees and over 5,400 species spanning 5° S to 47° N, we quantified the latitudinal trends of the relative importance of negative (competitive) and positive (facilitative) interactions among neighbouring tree species, accounting for three biotic and eight environmental factors. We examined whether the average neighbourhood species diversity around individuals of each focal species was larger or smaller than expected under null models. The results show that negative interspecific interactions prevailed across most plots. Near the equator, the relative proportions of species surrounded by a lower or higher than expected number of neighbours were roughly equal, but at higher latitudes, the proportions of species with a relatively higher number of neighbours declined, and those with fewer neighbours increased significantly. This latitudinal pattern can be attributed in part to reduced abundance of legumes, non-arbuscular mycorrhizal associations, and the weaker canopy nursing effect towards higher latitudes, but it was mediated by mean annual temperature. These findings reveal a previously unrecognized relative decline in facilitative interactions and increase in competitive interactions with latitude and suggest that rising temperatures could enhance facilitative effects and promote tree community diversity at higher latitudes.",nature_html,0
DNA damage drives antigen diversification in Trypanosoma brucei,https://www.nature.com/articles/s41586-026-10337-6,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10337-6,Monica R. Mugnier,"Antigenic variation, using large genomic repertoires of antigen-encoding genes, allows pathogens to evade host antibody. Many pathogens, including the African trypanosome Trypanosoma brucei, extend their antigenic repertoire through genomic diversification. Although evidence suggests that T. brucei depends on the generation of new variant surface glycoprotein (VSG) genes to maintain a chronic infection1,2,3,4, a lack of experimentally tractable tools for studying this process has obscured its underlying mechanisms. Here we present a highly sensitive targeted sequencing approach for measuring VSG diversification. Using this method, we demonstrate that a Cas9-induced DNA double-strand break within the VSG coding sequence can induce RAD51- and BRCA2-dependent VSG recombination with patterns identical to those observed during infection. These newly generated VSGs are antigenically distinct from parental clones and thus capable of facilitating immune evasion. Together, these results provide insight into the mechanisms of VSG diversification and an experimental framework for studying the evolution of antigen repertoires in pathogenic microorganisms.",nature_html,0
High-fidelity collisional quantum gates with fermionic atoms,https://www.nature.com/articles/s41586-026-10356-3,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10356-3,Titus Franz,"Quantum simulations of electronic structure and strongly correlated quantum phases are among the most promising applications of quantum computing. These computations benefit from native fermionic encodings1,2, enforcing fermionic statistics and conservation laws such as particle number and magnetization3 independent of gate errors. While ultracold atoms in optical lattices have become established as powerful analogue simulators of strongly correlated fermionic matter4,5,6,7, neutral-atom platforms have concurrently emerged as versatile, scalable architectures for spin-based digital quantum computation8. Unifying these capabilities requires high-fidelity motionally coherent gates for fermionic atoms9,10,11, similar to collisional gates in bosonic systems12,13, paving the way for programmable fermionic quantum processors. Here we demonstrate collisional entangling gates with fidelities up to 99.75(6)% and Bell-state lifetimes exceeding 10 s, realized by means of controlled interactions of fermionic atoms in an optical superlattice. Using quantum gas microscopy14, we microscopically characterize spin-exchange and pair-tunnelling gates and realize a robust composite pair-exchange gate, a key building block for quantum chemistry simulations3,15. Our results establish controlled collisions in optical lattices as a competitive and complementary route to high entangling gate fidelities in neutral-atom quantum computers. Operating intrinsically with fermions, this capability naturally extends to many-qubit architectures, in which fermionic statistics become relevant, enabling complex state preparation and advanced readout16,17,18,19 in scalable analogue–digital hybrid quantum simulators. Combined with local addressing20,21, these gates mark a crucial step towards a fully digital fermionic quantum computer based on controlled motion and entanglement of neutral atoms.",nature_html,0
Single-cell spatiotemporal dissection of the human maternal–fetal interface,https://www.nature.com/articles/s41586-026-10316-x,Nature,2026-04-08 00:00:00 UTC,2026-04-08 00:00:00+00:00,10.1038/s41586-026-10316-x,Jingjing Li,"The human maternal–fetal interface is characterized by mosaic intermingling of maternal and fetal cells1. Yet the underlying cellular, molecular and spatial programmes remain incompletely defined. Here we generate a comprehensive atlas of the human maternal–fetal interface across normal pregnancies from early gestation to term by integrating large-scale paired single-nucleus transcriptomic and chromatin accessibility profiling with submicrometre-resolution spatial transcriptomics and CODEX multiplex protein imaging2, substantially boosting the spatiotemporal resolution of prior research3. This framework delineates common and transient cell types, states and spatial niches across the fetal and maternal compartments, reconstructs transcriptional programmes that guide cytotrophoblast and decidual stromal cell differentiation, and resolves recurrent architecture structural units that build this interface. We identify previously unrecognized arterial endothelial state transitions during cytotrophoblast-mediated spiral artery remodelling and develop a machine learning model that predicts cytotrophoblast invasiveness from transcriptomic signatures. We further discover a decidual stromal cell subtype that suppresses cytotrophoblast invasion via endocannabinoid signalling at the human maternal–fetal interface. By integrating the atlas with genome-wide association data, we pinpoint maternal and fetal cells that are most vulnerable to pre-eclampsia, preterm birth or miscarriage. This resource provides a comprehensive spatially resolved single-cell multiomic reference of the human placenta and decidua and offers a framework for decoding their normal and disordered development.",nature_html,0
