title,link,published,source,pub_date
Mechanical regulation of immunity in metastasis,https://www.nature.com/articles/s41563-026-02658-8,2026-07-10 00:00:00 UTC,Nature Materials,2026-07-10 00:00:00+00:00
Direct conversion of N2 and CH4 to valuable N-containing compounds via a plasma-activated catalytic process,https://www.cell.com/chem/fulltext/S2451-9294(26)00202-0?rss=yes,2026-07-10 00:00:00 UTC,Chem,2026-07-10 00:00:00+00:00
Design principles for π-conjugated hydrogel semiconductors,https://www.nature.com/articles/s41563-026-02638-y,2026-07-10 00:00:00 UTC,Nature Materials,2026-07-10 00:00:00+00:00
Fluoride ions as charge carriers in electrochemical energy storage,https://www.nature.com/articles/s41563-026-02654-y,2026-07-10 00:00:00 UTC,Nature Materials,2026-07-10 00:00:00+00:00
In situ scattering optical microscopy offers power in numbers with single-particle precision,https://www.nature.com/articles/s41563-026-02637-z,2026-07-10 00:00:00 UTC,Nature Materials,2026-07-10 00:00:00+00:00
Briefing Chat: The 30 year-legacy of a science icon — Dolly the sheep,https://www.nature.com/articles/d41586-026-02185-1,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
Shining light in deep tissue,https://www.nature.com/articles/s41563-026-02671-x,2026-07-10 00:00:00 UTC,Nature Materials,2026-07-10 00:00:00+00:00
Which ‘AI scientist’ suits your lab? A guide for the perplexed,https://www.nature.com/articles/d41586-026-02091-6,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
"Think preprints are unreliable? Analysis of 70,000 studies might change your mind",https://www.nature.com/articles/d41586-026-02167-3,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
Lab-grown sperm: scientists inch closer to fertility breakthrough,https://www.nature.com/articles/d41586-026-02172-6,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
NSF plans cuts to core science programmes to fund White House initiative,https://www.nature.com/articles/d41586-026-02135-x,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
Author Correction: Authigenic mineral phases as a driver of the upper-ocean iron cycle,https://www.nature.com/articles/s41586-026-10853-5,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
Discovery of record-breaking high-Tc superconductivity among 5d transition-metal-oxides up to 17.8 K in ReO3,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag425/8731953?rss=1,2026-07-10 00:00:00 UTC,National Science Review Advance Access,2026-07-10 00:00:00+00:00
"Ganiopteris gen. nov., an early Carboniferous seed plant with foliar-borne ovules and its evolutionary significance",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag429/8731947?rss=1,2026-07-10 00:00:00 UTC,National Science Review Advance Access,2026-07-10 00:00:00+00:00
Alpine crossing took a heavy toll on Hannibal’s elephants and troops,https://www.nature.com/articles/d41586-026-02113-3,2026-07-10 00:00:00 UTC,Nature,2026-07-10 00:00:00+00:00
Endo-selective [2+2] cycloaddition of norbornadienes enables the synthesis of homocubanes,https://www.nature.com/articles/s41557-026-02201-x,2026-07-10 00:00:00 UTC,Nature Chemistry,2026-07-10 00:00:00+00:00
Scalable interface-interphase design of tin electrodes enables pouch-type sodium all-solid-state batteries,https://www.cell.com/joule/fulltext/S2542-4351(26)00254-0?rss=yes,2026-07-10 00:00:00 UTC,Joule,2026-07-10 00:00:00+00:00
Academic battery passports for the regulatory era of energy storage,https://www.cell.com/joule/fulltext/S2542-4351(26)00255-2?rss=yes,2026-07-10 00:00:00 UTC,Joule,2026-07-10 00:00:00+00:00
Anion-bridged secondary solvation sheaths for stable aqueous zinc batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag422/8731938?rss=1,2026-07-10 00:00:00 UTC,National Science Review Advance Access,2026-07-10 00:00:00+00:00
NSF makes billion-dollar gamble on research with an economic payoff,https://www.science.org/content/article/nsf-makes-billion-dollar-gamble-research-economic-payoff,2026-07-10 01:15:50 UTC,Latest News from Science Magazine,2026-07-10 01:15:50+00:00
DNA could act like a famed gravity-defying pump,https://www.science.org/content/article/dna-could-act-famed-gravity-defying-pump,2026-07-10 02:23:00 UTC,Latest News from Science Magazine,2026-07-10 02:23:00+00:00
How a 40-year project helped save little terns,https://www.bbc.co.uk/news/articles/cd0mx1zzld7o?at_medium=RSS&at_campaign=rss,2026-07-10 04:24:37 UTC,BBC News,2026-07-10 04:24:37+00:00
Ancient DNA solves Medici murder mystery,https://www.science.org/content/article/ancient-dna-solves-medici-murder-mystery,2026-07-10 05:05:00 UTC,Latest News from Science Magazine,2026-07-10 05:05:00+00:00
New NSF policy would ban almost all collaborations with Chinese scientists,https://www.science.org/content/article/new-nsf-policy-would-ban-almost-all-collaborations-chinese-scientists,2026-07-10 05:55:28 UTC,Latest News from Science Magazine,2026-07-10 05:55:28+00:00
"China lands reusable rocket for first time, state media says",https://www.bbc.co.uk/news/articles/cm2rmmx86pdo?at_medium=RSS&at_campaign=rss,2026-07-10 06:44:21 UTC,BBC News,2026-07-10 06:44:21+00:00
H2BE113K mutation promotes breast cancer metastasis through modulating chromatin dynamics,https://www.science.org/doi/abs/10.1126/sciadv.adx4982?af=R,2026-07-10 07:00:00 UTC,AAAS: Science Advances: Table of Contents,2026-07-10 07:00:00+00:00
Low-intensity stimulation drives macrophage efferocytosis via ACSL4 lipid remodeling and CCL9-CCR1 signaling for tendon-bone healing,https://www.science.org/doi/abs/10.1126/sciadv.adw6666?af=R,2026-07-10 07:00:00 UTC,AAAS: Science Advances: Table of Contents,2026-07-10 07:00:00+00:00
Biogeography of community canopy leaf traits and their links to global forest photosynthesis,https://www.science.org/doi/abs/10.1126/sciadv.adk2998?af=R,2026-07-10 07:00:00 UTC,AAAS: Science Advances: Table of Contents,2026-07-10 07:00:00+00:00
Reply to Rana and Singh: Critical thresholds and critical actions for evolvable AI,https://www.pnas.org/doi/abs/10.1073/pnas.2619586123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-07-10 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-07-10 07:00:00+00:00
Evolvable AI needs operational risk thresholds,https://www.pnas.org/doi/abs/10.1073/pnas.2618781123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-07-10 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-07-10 07:00:00+00:00
Reply to Ernst and Spaak: The LV-map accurately estimates species interactions even when functional responses are nonlinear,https://www.pnas.org/doi/abs/10.1073/pnas.2616838123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-07-10 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-07-10 07:00:00+00:00
Enhancing Sn-Pb perovskite homogeneity via thioether coordination for efficient and stable all-perovskite tandem solar cells,https://www.science.org/doi/abs/10.1126/sciadv.aeb8790?af=R,2026-07-10 07:00:00 UTC,AAAS: Science Advances: Table of Contents,2026-07-10 07:00:00+00:00
The LV map leads to misleading interpretations of coexistence,https://www.pnas.org/doi/abs/10.1073/pnas.2535393123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-07-10 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-07-10 07:00:00+00:00
Fatigue-resistant and tough double network granular elastomers,https://www.science.org/doi/abs/10.1126/sciadv.aec3482?af=R,2026-07-10 07:00:00 UTC,AAAS: Science Advances: Table of Contents,2026-07-10 07:00:00+00:00
