title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract
Cultural diversity of religion across 117 countries,https://www.nature.com/articles/s41467-025-67671-y,Nature Communications,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Humans show marked diversity in cultural values, beliefs, and preferences. Here, we analyze survey responses from 640,110 individuals in 117 countries (representing 89% of the World’s population), and 2,333 sub-national districts, surveyed in the World Values Survey and the European Values Study. Across multiple sets of comparable cultural traits, we find that religion consistently emerges as the cultural trait that exhibits the largest cross-country divergence (measured by the Cultural Fixation Index or simple variances). For example, personal emphasis on religion varies 5-10 times more across countries than emphasis on family, politics, or work effort, and religion is the most divergent quality valued for raising children. Likewise, differences in religious group membership across countries exceed those in other voluntary affiliations. These cross-country differences in religiosity stem partly from differences between religious traditions, but mostly from individual differences in religious involvement intensity. Our findings underscore the importance of religion in shaping cultural differences across societies.",nature_html,0
Catalytic acyloin-type heterocoupling of thioesters via a putative cobalt siloxycarbene,https://www.nature.com/articles/s41557-025-02036-y,Nature Chemistry,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"α-Oxy-metallocarbenes exemplify Fischer carbenes and find use in the synthesis of diverse materials. Most, however, arise from the addition of reactive organometallics to toxic metal carbonyls. Here we report a method to access α-siloxycarbenes from thioesters via the reductive silylation of cobalt acyls. The reaction results in carbonyl dimerization with high hetero- and stereo-selectivity to yield unsymmetrical tetrasubstituted disiloxyalkenes, while avoiding competitive decarbonylation. These products can be further elaborated to new functionalized fragments, heterocycles and challenging enolsilanes. Several different reactivity patterns combined with mechanistic interrogation converge on α-oxycarbenes as fleeting catalytic intermediates, indicating a way to generate and exploit these reactive species under mild conditions. This method provides a general platform to harness carbene reactivity from carboxylates via metal acyls and enables a range of diverse reactivities.",nature_html,0
Thermal [2+2] cycloaddition as a route to gem-difluoro heterobicyclo[n.1.1]alkanes,https://www.nature.com/articles/s41557-025-02047-9,Nature Chemistry,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"The [2+2] cycloaddition reaction has been pivotal in advancing synthetic organic chemistry. However, thermal [2 + 2] cycloaddition reactions are symmetry-forbidden due to ground-state orbital symmetry constraints, making them challenging to achieve under non-photochemical conditions. Here we report a stepwise radical intramolecular thermal crossed [2 + 2] cycloaddition, enabled by the fluorine effect of in-situ-generated N-(homo)allyl gem-difluoroenamines and homoallyl gem-difluorovinyl ethers. Silver-catalysed gem-difluoroalkenylation of N-(homo)allylamines and homoallyl alcohols with trifluoromethyl triftosylhydrazones, respectively, followed by an intramolecular crossed [2 + 2] cycloaddition of the in-situ-generated gem-difluoroalkenes enables the synthesis of a range of medically relevant gem-difluoro heterobicyclo[n.1.1]alkanes, including azabicyclo[2.1.1]hexanes, azabicyclo[3.1.1]heptanes and oxabicyclo[3.1.1]heptanes. This methodology features readily available starting materials, high chemo-, regio- and stereoselectivity, excellent functional group compatibility and high yields. Notably, further conversion of the formed azabicyclo[2.1.1]hexanes into azabicyclic endoperoxides via oxygen incorporation highlights the properties of these gem-difluorinated bridged azabicyclic compounds. Combined experimental and computational studies support a stepwise radical mechanism for the thermal crossed [2+2] cycloaddition.",nature_html,0
Electrochemical quantification of phosphonic acid passivated surface sites of NiOx for perovskite solar cells,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05065K,RSC - Energy Environ. Sci. latest articles,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Nickel oxide (NiOx) is among the few p-type metal oxide semiconductors considered a strong candidate for hole transport layers in halide perovskite solar cells (PSCs). However, its reactivity with perovskite ions poses significant challenges to achieving high efficiency and long-term stability. Here, we investigate passivation of detrimental reactive surface sites on NiOx by carbazole phosphonic acids. We leverage electrochemical cyclic voltammetry (CV) of NiOx electrodes as a proxy measure for the redox activity that afflicts PSCs. From the CVs, we derive a metric, N (units 1/cm2), that relates to the number of redox active sites on NiOx surfaces. We observe a statistically significant negative correlation between PSC efficiency and N-value that indicates PSCs are more efficient on NiOx with lower electrochemical reactivity. The new mechanistic insight into NiOx passivation demonstrates it requires a reducing agent and Brønsted acid combination, providing a broadly applicable approach for evaluating and enhancing the stability and performance of NiOx-based interfaces in photovoltaics.",rsc_html,0
The interconnected wirings between medial prefrontal cortex and claustrum and their governing roles in the methamphetamine reward memory in male mice,https://www.nature.com/articles/s41467-025-68009-4,Nature Communications,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Bidirectional communication between medial prefrontal cortex (mPFC) and claustrum (CL) plays a critical role in drug reward memory, particularly for conditioned drug-associated cues. However, their precise circuitry remains unclear. Here, using viral tracing, chemo-&opto-genetics and patch-clamp, alongside methamphetamine (METH) conditioned place preference (CPP) model, we dissected the connectivity pattern between mPFC and CL in male mice. Two relatively independent pathways of top-down mPFC-CL and bottom-up CL-mPFC were identified, each comprising both direct excitatory and indirect inhibitory projections. The mPFC-CL pathway predominantly mediates inter-hemispheric communication, while the CL-mPFC pathway mainly supports intra-hemispheric connections. Under physiological conditions, strong feedforward inhibition (FFI) via local GABAergic interneurons suppresses excitatory transmission between mPFC and CL. During METH CPP, FFI is weakened, resulting in enhanced excitatory signaling. The mPFC-CL pathway was engaged during reward memory encoding, whereas the CL-mPFC pathway mediated memory retrieval. These findings suggest potential therapeutic interventions for METH reward memory.",nature_html,0
Transient absorption spectroscopy: a mechanistic tool for triplet sensitizers and their applications,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS00614G,RSC - Chem. Soc. Rev. latest articles,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Transient absorption spectroscopy (TAS) is a well-known technique used to study events that take place upon photoexcitation at short time scales (usually from femtoseconds to nanoseconds and up to milli-seconds) and involve processes such as electron transfer, energy transfer, intersystem crossing, isomerization, proton transfer, exciplex or excimer formation, etc. These events are fundamental steps for the mechanisms of many chemical processes including organic synthetic reactions, photo-polymerization, photodynamic therapy, and thermally activated delayed fluorescence. In this review we thoroughly discuss and critically analyze how to exploit TAS to derive mechanistic insights in these processes. Moreover, some basic principles that can help in easily elucidating and predicting a transient absorption (TA) spectrum are included with previously reported examples. This paper is aimed at facilitating the application of TAS as a tool for mechanistic studies and to provide an overview of the techniques related to scientists and students with diverse scientific backgrounds.",rsc_html,0
Additive manufacturing of metastructures at the micro- and nano-scale,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D4CS01054J,RSC - Chem. Soc. Rev. latest articles,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"The emergence of additive manufacturing techniques offers more opportunities for fabricating complex structures with designed properties that are challenging to achieve using traditional manufacturing methods. Micro-/nano-scale metastructures are among the most promising applications of additive manufacturing and are composed of meta-atoms at the subwavelength scale with artificial design, which enables the creation of materials and structures with tailored and programmable properties that go beyond the limitations of their natural and traditional counterparts. This review depicts the thriving intersection of state-of-the-art additive manufacturing and micro-/nano-scale metastructures, such as metamaterials, metasurfaces, etc., aiming to provide a comprehensive overview of current achievements and explore future potential. An array of additive manufacturing techniques are discussed, such as electrohydrodynamic printing, two-photon lithography, and aerosol jet printing, which are reshaping the fabrication of metastructures with unprecedented structural design and functional diversity. Furthermore, the selection of the materials based on fabrication principles and device functions is considered. The diverse applications based on different metastructures are highlighted. Finally, this review is concluded by discussing the current challenges and giving future perspectives.",rsc_html,0
Wafer-scale monolayer dielectric integration on atomically thin semiconductors,https://www.nature.com/articles/s41563-025-02445-x,Nature Materials,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"A promising strategy for further miniaturizing metal–oxide–semiconductor field-effect transistors is the use of ultrathin two-dimensional channel materials. However, achieving robust dielectric integration with a sub-1-nm capacitance equivalent thickness (CET) remains challenging. Here we present a wafer-scale monolayer MoO3, transformed from MoS2, which can be seamlessly integrated with atomically thin semiconductors. Its atomically flat surface and the strong electronegativity of Mo6+ further enable the uniform deposition of high-κ dielectrics. Utilizing the 0.96-nm-CET MoO3/HfO2 as the dielectric, the top-gated p-type (n-type) two-dimensional transistors show a high ON/OFF ratio of 6.5 × 106 (3.2 × 108) and a steep subthreshold swing of 60.8 (63.1) mV dec−1. Statistical analysis of a 1,024-device array achieves a high yield of 92.2%. Furthermore, when monolayer MoO3 is used as the top-gated dielectric with an ultimately scaled CET of 0.64 nm, the gate leakage current meets the low-power limit standard (1.5 × 10−2 A cm−2) over the entire bias range. Our study provides a scalable approach for the integration of ultralow-CET dielectrics on two-dimensional materials, marking a critical step towards their future industrial deployment.",nature_html,0
Experimental observation of liquid–solid transition of nanoconfined water at ambient temperature,https://www.nature.com/articles/s41563-025-02456-8,Nature Materials,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Nanoconfined water exhibits many abnormal properties compared with bulk water. However, the origin of those anomalies remains controversial due to the lack of experimental access to the molecular-level details of the hydrogen-bonding network of water within a nanocavity. Here we address this issue by combining scanning probe microscopy with nitrogen-vacancy-centre-based quantum sensing. Such a technique allows us to characterize both dynamics and structure of water confined between a hexagonal boron nitride flake and a hydrophilic diamond surface by nanoscale nuclear magnetic resonance. We observe a liquid–solid phase transition of nanoconfined water at ambient temperature with an onset confinement size of ~1.6 nm, below which the water diffusion is considerably suppressed and the hydrogen-bonding network of water becomes structurally ordered. The complete crystallization is observed below a confinement size of ~1 nm. The liquid–solid transition is further confirmed by molecular dynamics simulation. These findings shed new light on the phase transition of nanoconfined water and may form a unified picture for understanding water anomalies at the nanoscale.",nature_html,0
Heterogeneous response of soil organic matter decomposition to temperature change across permafrost regions,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag019/8422525?rss=1,National Science Review Advance Access,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,10.1093/nsr/nwag019/8422525,Temperature sensitivity (Q,rss_oup,0
Daily briefing: The neural circuit that can make it hard to start a difficult task,https://www.nature.com/articles/d41586-026-00142-6,Nature,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,,,0
Shape-adaptive electronics based on liquid metal circuits printed on thermoplastic films,https://www.nature.com/articles/s41928-025-01528-6,Nature Electronics,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Conformal electronics are of use in the development of wearable and biointegrated devices. However, existing methods of creating such electronics can lead to a lack of mechanical robustness, are limited in their range of materials or require specialized equipment and complex procedures. Here we report a heat-shrinking method for fabricating conformal electronics in which semi-liquid metal circuits are patterned onto thermoplastic substrates and then heated to induce shrinkage around a target object. We develop a semi-liquid metal that can withstand shrinkage deformation and maintain long-term electrical stability. We also develop simulation tools to consider the effect of the thermoplastic film’s deformation on the final circuit pattern, which allows precise circuit designs to be created on the initially planar film. The resulting shape-adaptive electronics exhibit high durability, with minimal conductivity change after 5,000 bending and twisting cycles. We illustrate the potential of the method by creating circuits for de-icing model aircraft, robot tactile sensors, fruit temperature and humidity sensors, fingertip pulse sensors, and smart bandages.",nature_html,0
Harnessing acoustic topology for dynamic control of liquid crystal defects,https://www.nature.com/articles/s41467-025-68001-y,Nature Communications,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Topological soft matter systems rely on controllable defect structures to encode functionality, yet robust, large-scale, and reconfigurable manipulation strategies remain elusive. Here we present a versatile acoustic platform for dynamic control of liquid crystal defect arrays via engineered topological wavefields. By coherently superimposing surface acoustic waves, we generate spatially structured potential landscapes and acoustic streaming vortices that interact with the molecular orientation field of liquid crystals, enabling dynamic reconfiguration of topological defects. Tuning the acoustic parameter space allows precise modulation of defect density, symmetry, morphology, and spatial positioning. A theoretical framework based on Ginzburg-Landau modeling and free energy minimization captures the formation of vortex-induced instabilities and associated topological textures. The platform operates across diverse liquid crystal compositions, demonstrating material generality. This acoustically driven approach offers a scalable strategy for programmable topological structure in soft matter, with potential applications in reconfigurable photonic devices and active material systems.",nature_html,0
Non-polar nanocluster confinement engineering realizes high capacitive energy storage in Pb-free high-entropy relaxors,https://www.nature.com/articles/s41467-026-68301-x,Nature Communications,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Dielectric ceramic capacitors with ultrahigh power density have become indispensable in modern power electronics, yet the persistent challenge of achieving superior energy density with high energy efficiency remains a critical bottleneck for practical applications. Herein, we propose an effective non-polar nanocluster confinement strategy through phase-field simulation-guided design of high-entropy (Bi0.2Na0.2Ba0.2Sr0.2Ca0.2)(Ti1-xSnx)O3 lead-free relaxor ferroelectrics. The incorporation of Sn4+ ions with low ionic polarizability leads to the formation of localized non-ferroelectric perovskite units, which constitute robust non-polar nanoclusters, being further stabilized and rendered immobile against electric fields by the substantial local random fields inherent to the high-entropy configuration. Consequently, these engineered non-polar nanoclusters serve as effective pinning centers to impede the merging and growth of polar nanodomains under electric fields, thereby reconciling the inherent conflict between polarization enhancement and hysteresis reduction. The optimized composition (x = 0.06) exhibits a high recoverable energy density of ~18.5 J·cm-3 together with an ultrahigh energy efficiency of ~92.4% in multilayer ceramic capacitors, representing a competitive combination among lead-free counterparts. This approach not only establishes a viable paradigm for next-generation energy storage dielectrics but also provides fundamental insights for designing functional materials with tailored electrical properties.",nature_html,0
Mapping Europe’s rooftop photovoltaic potential with a building-level database,https://www.nature.com/articles/s41560-025-01947-x,Nature Energy,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Individual building-level approaches are needed to understand the full potential of rooftop photovoltaics (PV) at national and regional scale. Here we use the European Digital Building Stock Model R2025, an open-access building-level database, to assess rooftop solar potential for each of the 271 million buildings in the European Union. The results show that potential capacity could reach 2.3 TWp (1,822 GWp residential, 519 GWp non-residential), with an annual output of 2,750 TWh based on current PV technology. This corresponds to approximately 40% of electricity demand in a 100% renewable scenario for 2050. Already by 2030, over a half of buildings with floor area larger than 2,000 m2 could generate most of remaining capacity for the 2030 target with 355 GWp. Across member states, non-residential rooftops could cover 50% or more of their PV targets, with several exceeding 95%. The open-access building-level database offers practical tools to support better decisions, accelerate renewable energy adoption and promote a more decentralized energy system. It is also an enabler for planners and researchers to further explore energy scenarios with high renewable shares.",nature_html,0
Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry,https://www.nature.com/articles/s41560-025-01900-y,Nature Energy,2026-01-12 00:00:00 UTC,2026-01-12 00:00:00+00:00,,"Solar cells based on kesterite materials, Cu2ZnSn(S,Se)4 (CZTSSe), offer a non-toxic, Earth-abundant solution for energy generation. However, they have historically struggled to achieve power conversion efficiencies comparable to those of other thin-film photovoltaic technologies. Here we highlight the critical role of the synthesis and formation pathway of these multinary semiconductors, discussing the challenges associated with kesterite layer fabrication and their impact on device performance. In particular, we discuss how the design of molecular inks in kesterite synthesis is key to overcoming these limitations, unveiling the connections between precursor chemistry, synthesis pathways and the formation of point and extended defects. We discuss how precise control over these factors has enabled kesterite solar cells to exceed 15% efficiency. Building on these advances, we propose strategies to further improve device performance. Finally, the insights presented here provide a framework for the exploration and development of other multinary semiconductor materials.",nature_html,0
Entropically Stabilized Compositionally Complex Prussian Blue Analogues in Electrochemical Energy Storage and Catalytic Applications,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202505809?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 05:00:49 UTC,2026-01-12 05:00:49+00:00,10.1002/aenm.202505809,"ABSTRACT
                  High performance robust electrodes are demanding for next‐generation energy storage devices, especially to raise the energy density and cycle life of rechargeable batteries. Prussian Blue Analogues (PBAs), a class of framework materials possessing a 3D structure have gained vast interest as battery electrodes due to a rich and multiple redox active sites offering tunable chemistry to reversibly store charges. Albeit the Jahn–Teller distortions, structural phase transitions, low electronic conductivity, and lattice degradation certainly restrict the practicality of PBAs, requiring a rational engineering to exploit their properties. This review exclusively focuses on engineering the physical‐chemical‐electrochemical properties of PBA via high configurational entropy and the role of HE‐PBA toward activating the redox centers and improving the structure, cycle stability, and conductivity are elaborated. The entropically tuned HE‐PBAs endow synergistic “cocktail effect” benefitting structural robustness, alleviated/controlled phase transitions, multi‐electron redox activity, and performance improvements in batteries including lithium‐ion (Li‐ion), sodium‐ion (Na‐ion), lithium‐sulfur (Li‐S) and zinc‐ion (Zn‐ion) chemistries and catalytic conversion reactions. Further, the structure‐property relationship of HE‐PBAs in energy storage and catalytic systems are systematically discussed underpinning the role of redox elements in capacity retention, structural stability, phases transition, and cycle‐life. Alongside, a prospect on the practical outcomes and scope for further improvements are detailed.",crossref,0
Chiral Molecular Engineering for Synergistic Defect Passivation and Phase Stabilization Enables 22.19%‐Efficient Inorganic Perovskite Solar Cells,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202506140?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 05:02:29 UTC,2026-01-12 05:02:29+00:00,10.1002/aenm.202506140,"ABSTRACT
                  
                    Chiral materials exhibit unique optoelectronic properties due to their non‐centrosymmetric structure. However, the influence of chiral configurations on halide vacancy repair and phase stability remains poorly understood, hindering the development of effective chiral passivation strategies for all‐inorganic perovskite solar cells. In this work, we rationally constructed chirality‐mediated interfaces between the perovskite and hole transport layer using R‐/S‐N‐(9‐fluorenylmethoxycarbonyl)‐allylglycine (RAC‐NFA) to simultaneously suppress defect‐mediated non‐radiative recombination and phase instability in CsPbI
                    3‐x
                    Br
                    x
                    solar cells. Theoretical and experimental analyses reveal that RAC‐NFA operates via a “stereoselective complementarity” mechanism, which not only inhibits halide vacancy formation through “lock‐and‐key” coordination but also drives thermodynamically favorable secondary crystal growth and surface reconstruction, leading to larger, high‐quality grains. Additionally, the densely packed aromatic Fmoc groups at grain boundaries effectively suppress phase transition and moisture/oxygen penetration. RAC‐NFA modification further optimizes band alignment to enhance hole extraction and transport. Through these synergistic effects, the CsPbI
                    3‐x
                    Br
                    x
                    device achieves a power conversion efficiency of 22.19%, among the highest reported for such materials, while retaining over 90% of its initial efficiency after 800 h in ambient air. This work presents a synergistic passivation strategy that concurrently improves efficiency and stability, offering a promising route toward the commercialization of perovskite photovoltaics.",crossref,0
Brain displacement and nonlinear deformation following human spaceflight,https://www.pnas.org/doi/abs/10.1073/pnas.2505682122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00 UTC,2026-01-12 08:00:00+00:00,10.1073/pnas.2505682122,"When humans return from space, their average brain position is higher within the cranial compartment. Here, we evaluated brain regional shift magnitudes and deformations and their behavioral correlates. We analyzed MRI data from 26 astronauts and 24 participants from a long-duration head-down tilt bed rest study. We aligned skull position across timepoints (before and after spaceflight or bed rest) as a reference and then used rigid body registration to quantify brain position change. The brain shifted backward, upward, and rotated back in the pitch direction from before to after spaceflight and bed rest in a fashion that correlated with exposure duration. Regional analyses revealed nonlinear deformations in all three directions that were not captured in previous reports of the average position shift. Moreover, we observed symmetrical left–right shifts that were not evident in the average position shift due to sign cancellation. In those who spent one year in space, the supplementary motor cortex showed the largest upward displacement [2.52 mm, 95% CI = (2.25, 2.79)]. Widespread recovery occurred in all three dimensions (particularly in the up–down direction) over 6 mo following spaceflight. Larger posterior insula translations were correlated with greater postflight balance declines. The brain shifts and deformations in astronauts were somewhat similar to head-down tilt bed rest, but there were notable differences. Thus, we demonstrate comprehensive brain position changes within the cranial compartment following spaceflight and an analog environment. These findings are critical for understanding the effects of spaceflight on the human brain and behavior.",crossref,0
Global destocking of extensive livestock: An overlooked trend with Earth system consequences,https://www.pnas.org/doi/abs/10.1073/pnas.2509097122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00 UTC,2026-01-12 08:00:00+00:00,10.1073/pnas.2509097122,"Managed grazing is the most extensive land use on Earth. The prevailing narrative is that global rangelands, from grasslands to deserts, are being degraded by overgrazing due to overstocking. This perception arises from scientific literature, which contains an order of magnitude more studies on overstocking than on reductions in stocking rates. In contrast, over the past 25 y, regions representing almost half (42%) of global livestock have experienced reductions in stocking rates rather than the expected increases. We evaluated socioeconomic, technological, and climatic direct drivers, as well as indirect drivers, of global stocking patterns. Trade and climate had no detectable effects, whereas technological shifts and meat consumption had an impact on stocking rates. Direct drivers were largely controlled by human population and gross domestic product. Wealthier regions, with slower population growth, greater feed supplementation, and reliance on nongrazing livestock, reduced stocking rates. Less affluent regions, facing rapid population growth and rising meat demand but limited technological and feed resources, increased stocking rates. The overlooked reductions in stocking rates may have major ecological consequences at regional and global scales. Destocking can impact biodiversity, fire regimes, potentially increase carbon sequestration, and modify land–atmosphere fluxes. These effects are not simply the reverse of overstocking, as some consequences are irreversible, including state transitions and local extinctions. The skewed pattern of publications toward overstocking and overgrazing led to a perception of widespread degradation and had consequences on research direction and policy.",crossref,0
