title,link,published,source,pub_date
Unlocking asymmetric coordination of ferrocyanide ligand through high-spin vacancy for ultra-long lifespan aqueous potassium ion batteries,https://www.sciencedirect.com/science/article/pii/S1369702125005425?dgcid=rss_sd_all,2025-12-28 00:00:00 UTC,ScienceDirect Publication: Materials Today,2025-12-28 00:00:00+00:00
[ASAP] Leveraging Intramolecular π-Stacking in Ru(II)-Pyridine Complexes to Induce Photoinduced Ligand Dissociation,http://dx.doi.org/10.1021/jacs.5c16353,2025-12-28 14:50:07 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-28 14:50:07+00:00
[ASAP] Rational Analyses of Heat Capacity for Thermoelectric Materials,http://dx.doi.org/10.1021/acsenergylett.5c03263,2025-12-28 15:50:55 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-28 15:50:55+00:00
[ASAP] Pre-Protonation Reaction Pathway for CO2 Electrolysis to n-Propanol,http://dx.doi.org/10.1021/jacs.5c19578,2025-12-28 17:58:15 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-28 17:58:15+00:00
[ASAP] Epitaxial Integration of Single-Crystalline 2D Bi2O2Se Semiconductor Film on Silicon,http://dx.doi.org/10.1021/jacs.5c18957,2025-12-28 18:05:57 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-28 18:05:57+00:00
[ASAP] Expedient Modular Assembling of Chiral η6-Benzene Ligands: Empowering Ruthenium-Catalyzed Asymmetric C–H Activation,http://dx.doi.org/10.1021/jacs.5c20392,2025-12-28 18:07:56 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-28 18:07:56+00:00
[ASAP] Strategies for Enhancing the Stability of High-Electric-Field Perovskite Single-Crystal Radiation Detectors,http://dx.doi.org/10.1021/acsenergylett.5c02178,2025-12-28 18:31:37 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-28 18:31:37+00:00
[ASAP] Conquering Iodide Migration to Unlock Perovskite Commercialization,http://dx.doi.org/10.1021/acsenergylett.5c03156,2025-12-28 18:32:22 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-28 18:32:22+00:00
[ASAP] Synergistic Photoelectrical–Photothermal Modulation of Heterostructured p-Si Photocathode by Cascaded Interfacial Engineering for Efficient and Stable Hydrogen Production,http://dx.doi.org/10.1021/acsenergylett.5c03565,2025-12-28 18:55:39 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-28 18:55:39+00:00
[ASAP] Polymer Membrane Gas-Diffusion Layer with Nanowire Catalyst Implemented in Zero-Gap CO2 Electrolyzer Prevents Salt Precipitation-Induced Failure,http://dx.doi.org/10.1021/acsenergylett.5c03821,2025-12-28 18:56:49 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-28 18:56:49+00:00
[ASAP] Fluorescence Quenching Properties and Bioimaging Applications of Readily Accessible Blue to Far-Red Fluorogenic Triazinium Salts,http://dx.doi.org/10.1021/jacs.5c17428,2025-12-28 19:51:31 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-28 19:51:31+00:00
The levelized cost of exergy: a technoeconomic framework for energy system comparison,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05267J,2025-12-29 00:00:00 UTC,RSC - Energy Environ. Sci. latest articles,2025-12-29 00:00:00+00:00
Audio long read: Will blockbuster obesity drugs revolutionize addiction treatment?,https://www.nature.com/articles/d41586-025-04147-5,2025-12-29 00:00:00 UTC,Nature,2025-12-29 00:00:00+00:00
Probing pollutants: how I use penguin faeces to measure contaminants in Antarctica,https://www.nature.com/articles/d41586-025-04105-1,2025-12-29 00:00:00 UTC,Nature,2025-12-29 00:00:00+00:00
Why academics should do more consulting — and how to make it work,https://www.nature.com/articles/d41586-025-04104-2,2025-12-29 00:00:00 UTC,Nature,2025-12-29 00:00:00+00:00
Let 2026 be the year the world comes together for AI safety,https://www.nature.com/articles/d41586-025-04106-0,2025-12-29 00:00:00 UTC,Nature,2025-12-29 00:00:00+00:00
Nine books to help shape your science career in 2026,https://www.nature.com/articles/d41586-025-04101-5,2025-12-29 00:00:00 UTC,Nature,2025-12-29 00:00:00+00:00
Topological universal dynamic compatibilization enhances recycling of mixed plastics,https://www.nature.com/articles/s41893-025-01688-5,2025-12-29 00:00:00 UTC,Nature Sustainability,2025-12-29 00:00:00+00:00
Molecular characterisation of the Bacillus subtilis SpbK antiphage defence system,https://www.nature.com/articles/s41467-025-67810-5,2025-12-29 00:00:00 UTC,Nature Communications,2025-12-29 00:00:00+00:00
Viral entry shapes HCMV latency establishment,https://www.nature.com/articles/s41467-025-68063-y,2025-12-29 00:00:00 UTC,Nature Communications,2025-12-29 00:00:00+00:00
Flow-synchronized ring-shaped electrochemical ion pumping for redox-free desalination without terminal electrodes,https://www.nature.com/articles/s44286-025-00336-1,2025-12-29 00:00:00 UTC,Nature Chemical Engineering,2025-12-29 00:00:00+00:00
Fusion of multi-source precipitation records via coordinate-based generative models,https://www.nature.com/articles/s41467-025-67987-9,2025-12-29 00:00:00 UTC,Nature Communications,2025-12-29 00:00:00+00:00
Plasma protein profiling predicts cancer in patients with non-specific symptoms,https://www.nature.com/articles/s41467-025-67688-3,2025-12-29 00:00:00 UTC,Nature Communications,2025-12-29 00:00:00+00:00
Multi-omic relay velocity modeling uncovers dynamic chromatin-transcription regulation across cell states,https://www.nature.com/articles/s41467-025-67259-6,2025-12-29 00:00:00 UTC,Nature Communications,2025-12-29 00:00:00+00:00
