title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract
[ASAP] Visualizing Dynamic Processes in Energy Materials by Interferometric Scattering Microscopy,http://dx.doi.org/10.1021/acsenergylett.5c03495,ACS Energy Letters: Latest Articles (ACS Publications),2026-02-18 12:45:43 UTC,2026-02-18 12:45:43+00:00,10.1021/acsenergylett.5c03495,"Interferometric scattering microscopy (iSCAT) is emerging as a powerful label-free optical method to directly visualize nanoscale dynamics in real time. While it catalyzed major progress in single-molecule studies in life sciences, its broader potential in chemistry and materials science is only beginning to unfold. This Perspective introduces iSCAT to the energy-materials community, highlighting how its sensitivity to subtle refractive-index changes enables direct observation of dynamic phenomena central to device performance and materials function. Ranging from single-particle energy conversion, and phase transformations to exciton and heat transport in semiconductors, from nanoparticle nucleation and growth up to self-assembly and framework formation, iSCAT provides spatiotemporal insights inaccessible to conventional techniques. We outline configurations most relevant to energy research to help researchers assess compatibility with their systems. By rendering the dynamics of transformation visible, iSCAT reshapes how materials processes are probed under realistic conditions.",openalex,1
[ASAP] Quantification of Shallow Defect Suppression in Aminosilane-Passivated Lead Halide Perovskites via Optical and Electrochemical Methods,http://dx.doi.org/10.1021/acsenergylett.5c03869,ACS Energy Letters: Latest Articles (ACS Publications),2026-02-18 16:05:18 UTC,2026-02-18 16:05:18+00:00,10.1021/acsenergylett.5c03869,"We combine fluence-dependent photoluminescence (PL) and electrochemical characterization to estimate defect-dependent trapping rates, energetic distributions, and densities of defects, in lead halide perovskite films Cs0.1FA0.9PbI3 and Cs0.17FA0.83Pb(I0.75Br0.25)3, before and after trap passivation with vapor-deposited (3-aminopropyl)trimethoxysilane (APTMS). For both compositions, the PL studies show that energetically shallow subgap near-valence defect densities lead to bimolecular nonradiative recombination which is reduced by 92% after APTMS treatment. Electrochemical characterization of these same active layers shows for the first time that APTMS passivation impacts mainly on near-valence (mobile anionic) defects that decrease in density by 4 orders of magnitude, from 1018 cm–3 to 1014 cm–3, as a result of silane modification. The combination of PL and electrochemical characterization promises a unique approach to speciation and quantification of a broader distribution of trap states in perovskites and provides straightforward assessments of the efficacy of defect mitigation strategies.",openalex,1
Stable Catholyte Interface Enables Practical Operation of Sulfide‐Based All‐Solid‐State Li Metal Batteries (Adv. Energy Mater. 7/2026),https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.70572?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-02-18 19:11:13 UTC,2026-02-18 19:11:13+00:00,10.1002/aenm.70572,"All-Solid-State Batteries In article number e03019, Soojin Park, Sang-Min Lee, and co-workers report a fluorocarbon-terminated self-assembled-monolayer strategy that forms a chemically inert surface on LPSCl, enabling dry room-compatible slurry processing. Stabilized catholyte enhances chemical/electrochemical robustness, supports high-rate cycling under low pressure, and achieves long-term stability in thin-Li full cells, advancing scalable all-solid-state batteries.",openalex,1
Pyrimidinergic calcium signaling links tubular metabolism to fibrosis in kidney disease,https://www.nature.com/articles/s41467-026-69602-x,Nature Communications,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"Chronic kidney disease (CKD) is a major global health problem, with substantial associated morbidity and mortality. Fibrosis is the final common pathway of organ damage in CKD, so understanding how this arises during kidney injury is critical for building a holistic picture of the pathogenesis. Here, using gene expression data, intravital microscopy in mice and realistic cell models, we uncover evidence of a signaling pathway linking tubular pyrimidine metabolism and injury-evoked extracellular uridine diphosphate (UDP) release to activation of the P2Y6 receptor (P2Y6R) in surrounding fibroblasts. We show that P2Y6R activation triggers intracellular calcium rises, which stimulate fibroblast proliferation, migration, and conversion towards a myofibroblast phenotype. Conversely, genetic knockout or pharmacological blockade of the P2Y6R reduces fibrosis in mice with CKD. Thus, we reveal that pyrimidinergic calcium signaling couples fibroblast responses to changes in tubular metabolism in disease states, and represents a potential new target for therapeutic intervention.",nature_html,0
"Synergistic regulation of defects, charge carriers, and ions via bimolecular engineering in carbon-based perovskite photovoltaics",https://www.cell.com/joule/fulltext/S2542-4351(25)00479-9?rss=yes,Joule,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"We report a bimolecular interlayer strategy integrating octylammonium iodide (OAI) and (2-(3,6-dimethoxy-9H-carbazol-9-yl)ethyl) phosphonic acid (MeO-2PACz) to engineer perovskite surfaces in low-temperature printable carbon-based perovskite solar cells (C-PSCs). This approach simultaneously passivates multi-site defects, enhances hole-selective contacts via dipole-induced energy alignment, and suppresses ion migration. This yields record efficiencies of 23.15% for 0.09 cm2 C-PSCs and 18.77% per active area for 10 cm2 semitransparent module (35.8% visible light transmittance).",rss_cell,0
Gel electrolyte featuring parasitic salt-phobic network enables anode-free lithium batteries with long cycle life and enhanced thermal stability,https://www.cell.com/joule/fulltext/S2542-4351(25)00477-5?rss=yes,Joule,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"Advancing safe and durable lithium batteries requires clearer insight into how electrolytes govern ion behavior. This work demonstrates that rational polymer design can reshape lithium-ion solvation, a largely overlooked lever in battery optimization. By engineering a gel electrolyte that promotes a stable anion-rich environment, the work enables improved cycling stability and thermal stability in anode-free cells. These findings highlight the importance of molecular-level solvation control and offer a practical strategy for next-generation high-energy batteries.",rss_cell,0
Vacancy-interface coupling in nanomaterials for photocatalytic energy and environmental applications,https://www.cell.com/chem/fulltext/S2451-9294(25)00504-2?rss=yes,Chem,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"Vacancy-interface coupling integrates defect chemistry with interfacial band modulation to steer charge separation, strengthen redox pathways, and enhance photocatalytic transformations. This strategy enables efficient photocatalytic H2 production, H2O2 evolution, CO2 reduction, and pollutant degradation while driving the photoreforming of plastics and biomass through synergistic vacancy-induced band restructuring and interfacial electric fields.",rss_cell,0
Shedding light on overpotentials and underpotentials in (photo)electrochemical reactions,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D4CS00695J,RSC - Chem. Soc. Rev. latest articles,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"The concept of overpotential is central to evaluating the performance of catalysts for electrochemical and photoelectrochemical transformations. This thermodynamic metric is well defined in the context of electrochemical reactions involving conducting electrodes, where the overpotential is the difference between an applied bias potential (which sets the energetics/potential of the electrode's Fermi level) and the equilibrium potential (which is set by the mixture of oxidized and reduced chemical species in the bulk solution and establishes the applied bias potential at which no net current flows, i.e., the open-circuit potential). Nonetheless, there are at least two ways the term overpotential—or in some cases “underpotential”—has been used to describe photoelectrochemical reactions involving semiconducting electrodes, where illumination results in a splitting of the photoelectrode's Fermi level into majority- and minority-carrier quasi-Fermi levels. In one approach, the overpotential/underpotential remains defined as the difference between an applied bias potential and the equilibrium potential. In the alternative approach, the overpotential is defined as the difference between the minority-carrier quasi-Fermi-level potential at the semiconductor surface and the equilibrium potential, thereby accounting for the surface photovoltage generated upon illumination of a semiconductor electrode. This article provides an overview of conceptual differences involving overpotentials and underpotentials in (photo)electrochemical reactions and considers applied electrode potentials in terms of their enthalpic versus entropic contributions.",rsc_html,0
Daily briefing: Automated robot ‘scientists’ spark debate over the future of lab work,https://www.nature.com/articles/d41586-026-00557-1,Nature,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,,,0
Radioisotope-mimetic molecular afterglow probe for downregulated cancer biomarker imaging,https://www.nature.com/articles/s41563-026-02507-8,Nature Materials,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"Molecular afterglow imaging is a biomedical modality with high sensitivity and specificity. However, due to the short half-lives of existing afterglow agents, longitudinal imaging often requires multiple on-site reinductions. Here we report a probe with month-long afterglow luminescence and the ability to target a downregulated liver tumour biomarker. This downregulated-biomarker-activatable afterglow probe (DROP) operates through a self-sustainable photoenergy cycling reaction, during which afterglow resonance energy transfer re-excites the afterglow initiator to regenerate singlet oxygen. This process initiates new afterglow resonance energy transfer cycles, extending the afterglow duration to over 40 days. The long afterglow of DROP enables in vivo imaging over 8 h with a single light preinduction, mimicking the imaging process of radioisotopes. Moreover, DROP quickly becomes inactive in healthy liver tissues due to cytochrome P450 enzyme activity, detecting and delineating tumours as small as 1 mm in diameter for complete surgical resection in both murine and rabbit models. Overall, we provide fundamental guidelines to develop radioisotope-mimetic afterglow luminescence probes and highlight the targeting of downregulated biomarkers as a promising approach in cancer theranostics.",nature_html,0
A molten-salt dispersion of lanthanides at the atomic scale,https://www.nature.com/articles/s41563-026-02492-y,Nature Materials,2026-02-19 00:00:00 UTC,2026-02-19 00:00:00+00:00,,"Lanthanide (Ln) elements have distinctive electronic structures and chemical behaviours that can be used to tune electrocatalytic performance when they are introduced as isolated atomic modifiers. However, their broader use remains limited because their high reactivity and ultralow reduction potentials make it difficult to develop general synthesis strategies that can atomically disperse Ln atoms on diverse substrates. Here we develop a molten-nitrite method that yields Ln single-atom catalysts, permitting the atomic isolation of multiple lanthanides on various supports, including metals, metal oxides and carbon materials. Mechanistic insights obtained from systematic control experiments indicate that Ln single-atom catalyst formation in molten nitrites is dictated by three factors: the Lux–Flood basicity effect, mass-diffusion resistance and molten-salt shielding. As a demonstration, Dy1/Pt shows an overpotential of 20 mV at a current density of −10 mA cm−2 in 0.5-M H2SO4 for acidic hydrogen evolution, which is superior to commercial Pt/C catalysts. This work establishes a framework for synthesizing Ln single-atom catalysts and positions molten-nitrite systems as a versatile platform for electrocatalyst synthesis.",nature_html,0
