title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Techno-economic assessment of centralized and decentralized energy management strategies for energy sharing in collective self-consumption schemes,https://www.sciencedirect.com/science/article/pii/S0306261926006665?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Ander Goikoetxea,,,
Evolution and drivers of CO2 and carbon intensity in Malaysia,https://www.sciencedirect.com/science/article/pii/S0301421526002983?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-16 00:00:00+00:00,,Yingzhu Li,,,
De novo design of peptides localizing at the interface of biomolecular condensates,https://www.nature.com/articles/s41467-026-73099-9,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-73099-9,Paolo Arosio,,"The interface of biomolecular condensates plays a key role in processes such as protein aggregation and biochemical reactions, making it an attractive target for engineering condensates. However, the molecular grammar that drives preferential localization to condensate interfaces remains poorly understood. Here, we develop a computational pipeline that integrates high-throughput coarse-grained simulations, machine learning, and mixed-integer linear programming to design peptides that partition at the interfaces of defined condensate targets. We validated the workflow by designing and synthesizing peptides that localize at the interface of three distinct condensates formed by intrinsically disordered protein regions. These peptides exhibit surfactant-like architectures. Specifically, one tail inserts into the condensate and is enriched in aromatic residues, while the opposite tail is excluded from the dense phase, with its sequence varying according to the scaffold’s net charge. Overall, our pipeline offers a general strategy for rationally designing interface-localizing peptides and for unraveling the governing design principles.",nature_html
Xyloglucan xylosyltransferase stem region mediates heterodimer formation,https://www.nature.com/articles/s41467-026-73329-0,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-73329-0,Olga A. Zabotina,,"Xyloglucans are plant cell wall hemicelluloses composed of a glucan backbone substituted with xylosyl residues with diverse branching patterns. Xyloglucan xylosyltransferases (XXT) 2 and XXT5 are both required to fully xylosylate the glucan backbone and physically interact, yet the mechanism of this interaction has remained undefined. Here, we present crystal structures of the XXT2-XXT5 heterodimer, organized as an obligatory heterodimer and bound to both substrates. These structures confirm the presence of a secondary binding pocket in XXT5 that likely accommodates a pre-xylosylated glucan chain. A previously uncharacterized interaction is also revealed between XXT2’s stem region and XXT5, which is absent in the XXT1 homodimer structure. Truncated and chimeric protein experiments support that this stem polypeptide controls oligomerization, a mechanism likely shared by other glycosyltransferase complexes. Together, these findings provide the structural basis for understanding how XXTs coordinate xyloglucan xylosylation and offer insight into the mechanism of their dimerization.",nature_html
Robust intensification of projected regional precipitation extremes over Africa,https://www.nature.com/articles/s41467-026-73246-2,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-73246-2,Vishal Bobde,,"Extreme rainfall is increasing under climate warming, but its future patterns across Africa remain highly uncertain. Using Coupled Model Intercomparison Project Phase 6 (CMIP6) simulations, we assess projected changes in annual maximum one-day precipitation (Rx1day) and rare precipitation extremes across African subregions under both SSP2-4.5 and SSP5-8.5 scenarios. Our results show robust intensification of Rx1day by the late twenty-first century, with increases of ~5–10 mm day⁻¹ (15–23 mm day⁻¹) under SSP2-4.5 (SSP5-8.5), largest in convectively dominated equatorial regions such as West, Central, and Northeast Africa. Rare events that historically occurred once every 50 (100) years are projected to recur every ~5–10 ( ~ 6–14) years, with recurrence intervals as short as 2–3 years in equatorial regions under SSP5-8.5. This intensification is driven primarily by thermodynamic moistening associated with radiation-induced warming, while diabatic heating–driven dynamic changes modulate regional responses and account for much of the intermodel spread. A hierarchical emergent-constraint framework based on observed historical global mean surface temperature trends moderates mean Rx1day intensification by ~11–35% without altering its sign. Constrained and unconstrained projections indicate substantial continent-wide increases in population and gross domestic product exposure.",nature_html
Visualization of the complete preprimosome reveals the structural mechanisms governing DNA replication restart,https://www.nature.com/articles/s41467-026-73239-1,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-73239-1,Timothy Grant,,"Replication restart pathways reinitiate DNA replication processes following their premature termination. In Escherichia coli, this essential process begins with regulated assembly of the preprimosome complex, comprising the PriA, PriB, and DnaT proteins, onto an abandoned replication fork. Here, we present two distinct preprimosome structures. One represents an intermediate stage in preprimosome assembly with a single DnaT C-terminal domain (DnaTCTD) bound to PriA/PriB/DNA. The second captures the mature preprimosome, in which filamentation of multiple DnaTCTD molecules catalyzes the handoff of the single-stranded lagging-strand DNA from PriB to DnaT. The DnaT N-terminal domain forms a separate, independent oligomer in the mature structure. Taken together, our results detail the molecular mechanisms underlying replication restart initiation and regulation and suggest mechanistic similarities between DnaT and the canonical initiator protein DnaA.",nature_html
Catalytic Markovnikov hydrophosphorylation of unactivated olefins via a radical-polar crossover rearrangement,https://www.nature.com/articles/s41467-026-72870-2,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-72870-2,Bing Han,,"The phosphorylation of alkenes offers a diverse handle for obtaining organophosphoryls, but its regioselectivity still faces challenges, especially the radical Markovnikov hydrophosphorylation of alkenes. Herein, we develop a radical Markovnikov hydrophosphorylation of unactivated alkenes by a sequential reaction of (bis)homoallylic alcohols, Ph2PCl, and water under visible light-driven triple catalysis. The protocol initiates from a Co-H species-mediated metal-hydride atom transfer, followed by a water-mediated radical-polar crossover phosphinite rearrangement. This reaction features mild reaction conditions, excellent regio-/stereoselectivity, and good natural products compatibility. The successful radical deuterophosphonation of olefins by using D2O to replace H2O further demonstrates the synthetic value of the protocol. This protocol not only broadens the mode of phosphinite rearrangement, but also provides a successful example for the radical activation of water and its three-atom splitting and utilization in organic conversion.",nature_html
Demonstration of biogas upgrading and valorization via molten carbonate electrolysis,https://www.sciencedirect.com/science/article/pii/S0306261926006434?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Jaroslaw Milewski,,,
Toward sustainable and low-carbon industrial transformation: Insights from industrial green microgrids,https://www.sciencedirect.com/science/article/pii/S0306261926007075?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Kaidi Huang,,,
Known and unknown biodiversity impacts of solar PV: A review of life cycle stages and mitigation opportunities,https://www.sciencedirect.com/science/article/pii/S0306261926006604?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Antti Kosonen,,,
"Technological evolution and sustainable deployment of synthetic natural gas from coal gasification: a review, recommendations, and prospects",https://www.sciencedirect.com/science/article/pii/S0306261926006896?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Fuchen Wang,,,
Engineering high-performance BiVO4-based Photoanodes for Photoelectrochemical water splitting,https://www.sciencedirect.com/science/article/pii/S0306261926006549?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Xin Su,,,
Aberration-aware 3D localization microscopy via self-supervised neural-physics learning,https://www.nature.com/articles/s41467-026-73045-9,,Nature Communications,2026-05-16 00:00:00+00:00,10.1038/s41467-026-73045-9,Yiming Li,,"Single-molecule localization microscopy (SMLM) enables volumetric nanoscopy by retrieving 3D molecular positions from engineered 2D fluorescence patterns. However, achieving nanoscale resolution over large axial ranges in complex samples remains challenging due to optical aberrations and overlapping signals from high-density molecules. Here, we introduce LUNAR, a self-supervised neural-physics framework that overcomes those limitations by jointly optimizing a physical imaging model and a deep neural network. This strategy allows LUNAR to precisely infer 3D molecular positions, photon counts, and aberrations directly from raw, high-density data without prior calibration. Through simulations and experiments, we demonstrate that LUNAR achieves superior robustness and accuracy across diverse imaging conditions, consistently outperforming existing methods. We showcase its capabilities through whole-cell nanoscopy of mitochondria, nuclear pores, and neuronal cytoskeletons at large imaging depths. By uniting deep learning with physical modeling, LUNAR provides a calibration-free solution for aberration-robust 3D SMLM and establishes a general framework for adaptive, data-driven microscopy.",nature_html
Multi-period planning of networked integrated hydrogen-based microgrids: A chance-constrained information-gap decision approach,https://www.sciencedirect.com/science/article/pii/S0306261926006975?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Yan-Wu Wang,,,
Electrocatalytic systems: Unveiling the potential of flow electrochemistry for electrochemical energy applications and beyond,https://www.sciencedirect.com/science/article/pii/S030626192600704X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Anitha Varghese,,,
Toward resilient distribution system via microgrid formation: A safe hierarchical hybrid reinforcement learning approach,https://www.sciencedirect.com/science/article/pii/S0306261926006537?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Zhenning Pan,,,
User preference cluster-based optimization for electric vehicles charging in smart buildings under uncertainty,https://www.sciencedirect.com/science/article/pii/S0306261926006914?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Geert Deconinck,,,
Achieving maximum efficiency in thermochemical green hydrogen production,https://www.sciencedirect.com/science/article/pii/S0306261926006586?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Ahmed F. Ghoniem,,,
A hierarchical-zoned capacity planning methodology for hybrid power systems connected via cascade multi-terminals transmission: a case study,https://www.sciencedirect.com/science/article/pii/S0306261926006100?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-16 00:00:00+00:00,,Baibing Ma,,,
"Green illusions, enduring poverty: How geopolitical fragmentation fuels greenwashing and derails the just energy transition in the global South",https://www.sciencedirect.com/science/article/pii/S0301421526003034?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-16 00:00:00+00:00,,Ping Chen,,,
