title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Insight into safety and economic trade-offs for high-pressure PEMEC operation using Bayesian optimization,https://www.sciencedirect.com/science/article/pii/S0306261925020756?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,对使用贝叶斯优化的高压PEMEC作业的安全和经济权衡,
A material toolbox for engineering targeted lipid nanoparticles for RNA therapies,https://www.sciencedirect.com/science/article/pii/S1369702125005577?dgcid=rss_sd_all,ScienceDirect Publication: Materials Today,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,RNA疗法针对脂质纳米粒子的工程材料工具箱,
Bernoulli’s principle-mediated Cl2 electrosynthesis,https://www.nature.com/articles/s41467-025-66643-6,Nature Communications,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,"Existing technologies for chlorine (Cl2) synthesis are generally suffered from low productivity or high production cost. Guided by Bernoulli’s principle, here we report an efficient yet cost-effective electrochemical system for Cl2 electrosynthesis, which is composed of anodic chlorine evolution reaction (CER) connected to gas chamber by triple-phase gas diffusion layer. The key is to modulate gas diffusion layer by Bernoulli’s principle, wherein the pressure difference at triple-phase boundary drives oriented Cl2 migration directly into gas chamber, thus preventing the crossover of anodic/cathodic products. By further joining with a pH-tolerant catalyst, a standalone prototype device is built for high-rate Cl2 production, operating at the Faradaic efficiencies of 96.3% ~ 87.6% in the current density range of 0.1 ~ 1.14 A cm−2, having superior Cl2 synthesis performance. Further technical-economic evaluations of our synthetic scheme demonstrate reduced Cl2 production cost, saving 6.75% (1.17 million dollar per year) as comparison to conventional chlor-alkali design. We expect these findings offer broader opportunities to develop industrially production processes for other chemical commodities.",nature_html,0,,Bernoulli 以主要媒介为媒介的 Cl2 电子合成合成,"氯(Cl2)合成的现有技术通常受到低生产率或高生产成本的影响。 在Bernoulli原则的指导下,我们在此报告一个高效但成本效益高的氯2电合成系统,由三相气体扩散层连接到气室的无端氯进化反应(CER)组成。关键是根据Bernoulli原则调节气体扩散层,在三相边界驱动驱动器中的压力差异直接移入气室,从而防止异性/阴性产品的交叉交叉。 通过进一步结合一种小H耐受性催化剂,为高水平的氯2生产建造了一个独立的原型装置,其运行效率为96.3%~87.6%。"
Interaction and functional specialization across a distributed neural circuit for flexible task control in macaques,https://www.nature.com/articles/s41467-025-65766-0,Nature Communications,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,"Reversal tasks have been regarded as probes of behavioural inhibition and linked to prefrontal and specifically orbitofrontal cortex. The centrality of behavioural inhibition to reversal task performance and the task’s dependence on particular prefrontal sub-regions have, however, been questioned in primates. Using a combination of whole brain recording, transient ultrasonic disruption, two types of reversal task, and a task model emphasizing identification of transitions between latent states, we show that male macaques track latent state transitions in addition to choice values in reversal tasks. Activity reflecting both these features is prominent in dorsomedial frontal cortex, and anterior and dorsomedial thalamus when, and just before, animals select choices. By contrast, hippocampal activity continually tracks the probability of a reversal between latent states. We identify patterns of activity interaction spanning the three nodes of this circuit and demonstrate that disruption of each leads to reversal task impairment albeit in different ways.",nature_html,0,,"通过分布式神经电路进行互动和功能专门化,以灵活控制黑桃的任务","反转任务被视作行为抑制的探针,并且与前期和具体轨道前前额和前端皮层相关联。 然而,行为抑制对逆转任务业绩的核心作用以及任务对特定前前端次区域的依赖性在灵长类中受到质疑。 使用大脑记录、瞬时超声波干扰、两种倒转任务以及强调确定潜伏国之间过渡的任务模式的组合,我们发现男性马卡克斯除了在逆转任务中选择值外还跟踪潜在状态的转变。 反映这两个特征的活动在动物选择时和之前都突出表现在骨质前部皮层以及内脏和骨部骨部骨部骨部骨部骨部。 相反,河马坎普(Hippocampal ) 。"
From concept to deployment: A review of carbon-to-methanol pathways for e-methanol,https://www.sciencedirect.com/science/article/pii/S0306261926000814?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,从概念到部署:审查电子乙醇的碳到甲醇途径,
Bi-level distributionally robust coordinated optimization of integrateed energy system and hydrogen refueling station based on stackelberg game,https://www.sciencedirect.com/science/article/pii/S0306261925019956?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,双级分配强力协调优化整合的能源系统和基于堆叠格游戏的氢加油站,
A novel day-ahead bidding method considering real-time operational characteristic and strategy for wind-hydro hybrid power systems,https://www.sciencedirect.com/science/article/pii/S0306261926000024?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,一种考虑到风水混合动力系统实时运行特点和战略的新颖的日头竞标方法,
Benefiting from solar: Optimal scheduling for solar electric buses with onboard PV auxiliary power,https://www.sciencedirect.com/science/article/pii/S0306261926000127?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,受益于太阳能:太阳能电动客车和光电池辅助电力的最佳安排,
Coupled energy-transportation network resilience improvement strategy considering dynamic traffic flow distribution: Multi-type Mobile emergency resources collaborative scheduling,https://www.sciencedirect.com/science/article/pii/S030626192600019X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,考虑动态交通流量分布动态的能源运输网络复原力改善战略:多型移动应急资源协作安排,
Stacked-overlapped graphdiyne nano-iontronics enabling enhanced monovalent/divalent cation selectivity for single-cell pH detection,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag050/8440139?rss=1,National Science Review Advance Access,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,10.1093/nsr/nwag050/8440139,"Developing nano-iontronic devices that minimize ionic interference is essential for precise measurements in complex physiological systems. Graphdiyne (GDY), a novel carbon allotrope featuring sub-nanometer pores, enables effective regulation of ionic transport and is therefore a promising material for high-performance iontronic applications. Here, we report a pH-responsive nano-iontronic device fabricated by stacking and overlapping graphdiyne (so-GDY) layers onto the tip of the nanopipette. This so-GDY-based pH nano-iontronic sensor exhibits a linear decrease in ionic current under negative potential as the pH decreases from 8.00 to 5.50. This response is attributed to protonation of the oxygen-containing functional groups on the so-GDY surface and edges, which diminishes the negative surface charge and thereby reduces ionic conductivity. A key advantage of this nano-iontronic device is its excellent selectivity, demonstrating robust resistance to interference from divalent cations (Mg²⁺, Ca²⁺) and small molecules within the pH range 8.00-5.50, while maintaining stable detection currents. The so-GDY-based pH nano-iontronic device achieves typical monovalent-to-divalent cation selectivity ratio (<0.4), alongside excellent repeatability, reversibility, and stability. This combination of features yields a biocompatible, high-resolution tool for minimally invasive, real-time pH measurements at the single-cell and even at a single-organelle level, opening new avenues for investigating cellular dynamics and disease pathogenesis with enhanced clarity.",rss_oup,0,,能够增强单细胞 pH 检测单细胞 pH 检测单价/二价热选择性的强化单价/二价热选择性的堆积过压平式石墨晶晶晶晶晶晶体纳米电能,"在复杂的生理系统中进行精确测量时,必须开发能够尽量减少电离干扰的纳米电离设备。Gigapdiyne(GDY)是一个新型的碳超光谱,其特点是次长孔径,能够有效地调节离子迁移,因此是高性能电离电能应用的有希望的材料。在这里,我们报告在纳米管道的顶端上堆叠和重叠的石光二因(so-GDY)层制造的PH反应纳米离子体装置。这个以GDY为基础的PH 纳米电离子传感器显示,负潜能下的离子电流线性下降,因为pH值从8.00下降到5.50。这一反应是由于在SGDY表面和边缘的含氧功能组质变,从而减少了负值。"
How long is long enough? toward an optimal year span for typical meteorological year selection in a changing climate,https://www.sciencedirect.com/science/article/pii/S0306261926000280?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-24 00:00:00 UTC,2026-01-24 00:00:00+00:00,,,,0,,距离在变化的气候中选择典型气象年的最佳年间隔有多长?,
