title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Interleukin-10 expressing B lineage cells in visceral adipose tissue protect against aging-related insulin resistance and extend lifespan,https://www.nature.com/articles/s41467-026-69371-7,Nature Communications,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"Visceral adipose tissue (VAT) inflammation is considered as an important contributor of aging, however, whether there is endogenous factor(s) in VAT that counteract this process remains obscure. Here we reported that interleukin (IL)−10 expressing B lineage (B-10) cells are greatly expanded in aged VAT in human and mouse. In aged VAT, B-10 cells are the primary source of IL-10. B cell-specific knockout of IL-10 exaggerated aging-related inflammation and insulin resistance (IR) and reduced lifespan, which could be partially recovered via adoptive transfer of B-10 cells from wild-type mice. Aged VAT microenvironment enhanced IL-10 secretion and proliferation of B-10 cells. The proliferation of B-10 cells was mediated by increases in BAFF in aged VAT. Knock-down of BAFF in VAT compromised aging-related expansion of B-10 cells. On the contrary, VAT-specific overexpression of BAFF promoted B-10 cells expansion, improved aging-related inflammation and IR, and prolonged lifespan.",nature_html,0,,"Interleukin-10在内脏脂肪组织中表示B直线细胞,防止与老龄有关的胰岛素抗药性及延长寿命","然而,增值税中是否存在抵消这个过程的内生因素,仍然模糊不清。我们在这里报告说,人体和老鼠体内表现B线状(B-10)的内 Leukin(IL)-10细胞内表现B线状(B-10)的内分泌(B-10)细胞在年老增值税中大为扩大。在年老的增值税中,B-10细胞是IL-10的主要来源。B细胞击倒IL-10型过大与老化有关的发炎和胰岛素抗药性(IR)和缩短寿命,这可以通过野型小鼠的B-10细胞的吸收性转移部分恢复。老的增值税微环境加强了IL-10分泌和B-10细胞的扩散。B-10细胞的扩散是由老的增值税中BAFF增加的介介介质。VAT中的BAFF击垮BAFF会损害 agi。"
Improving energy distribution in collective self-consumption via XGBoost-based allocation coefficients prediction,https://www.sciencedirect.com/science/article/pii/S0306261926001212?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,,,0,,通过基于XGBost的分配系数预测改善集体自消费的能源分配,
Neuromorphic photonic computing with an electro-optic analog memory,https://www.nature.com/articles/s41467-026-69084-x,Nature Communications,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"In neuromorphic photonic systems, device operations are typically governed by analog signals, necessitating digital-to-analog converters (DAC) and analog-to-digital converters (ADC). However, data movement between memory and these converters in conventional von Neumann architectures incur significant energy costs. We propose an analog electronic memory co-located with photonic computing units to eliminate repeated long-distance data movement. Here, we demonstrate a monolithically integrated neuromorphic photonic circuit with on-chip capacitive analog memory and evaluate its performance in machine learning for in situ training and inference using the MNIST dataset. Our analysis shows that integrating analog memory into a neuromorphic photonic architecture can achieve over 26 × power savings compared to conventional SRAM-DAC architectures. Furthermore, maintaining a minimum analog memory retention-to-network-latency ratio of 100 maintains >90% inference accuracy, enabling leaky analog memories without substantial performance degradation. This approach reduces reliance on DACs, minimizes data movement, and offers a scalable pathway toward energy-efficient, high-speed neuromorphic photonic computing.",nature_html,0,,具有电子光学模拟内存的神经定光光学计算,"在神经成形光谱系统中,设备操作通常由模拟信号管理,需要数字到模拟转换器和模拟到数字转换器;然而,传统冯纽曼结构中的记忆和这些转换器之间的数据移动需要高昂的能源费用。我们提议与光度计算器合用一个模拟电子存储器,以消除重复的长距离数据移动。在这里,我们展示了一个单元集成的神经成像光谱路,在芯片上具有电能性模拟内存,并评价其在利用MNIST数据集进行现场培训和推断的机器学习方面的性能。我们的分析表明,将模拟内存纳入神经形态光学结构可以节省26倍以上电力。"
Finite element analysis of composites for latent heat storage technology: a comprehensive review,https://www.sciencedirect.com/science/article/pii/S0306261926001182?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,,,0,,潜在热储存技术复合材料的有限要素分析:全面审查,
Molecular Engineering of an Ether-Nitrile Constructs Robust Dual-interphases for Ultra-Stable 4.5 V Lithium Metal Batteries,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE07479G,RSC - Energy Environ. Sci. latest articles,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"High-voltage lithium metal batteries (LMBs) face a critical barrier to practical deployment: conventional electrolytes fail to stabilize both the cathode and anode interfaces, triggering rapid degradation and safety risks. To overcome this limitation, we designed 3-methoxypropanenitrile (MPN), a molecularly tailored ether-nitrile additive, and integrated it into a diluted high-concentration electrolyte (DHCE). Computational studies reveal that the ether-oxygen heteroatom in MPN redistributes electron density and fine-tunes Li+ solvation, effectively circumventing the notorious reactivity of nitrile groups with lithium metal. This molecular intervention enables dual-interphase stabilization—on the lithium anode, MPN promotes anion-derived decomposition through weak yet selective Li+ coordination, forming an inorganic-rich SEI (LiF/Li3N) that ensures 99.5% Coulombic efficiency and uniform lithium deposition. At the LiMnxFe1-xPO4 cathode operating above 4.5 V, MPN adsorbs preferentially via Mn/Fe coordination, shields the surface from oxidative attack, and participates in hydrogen-transfer reactions with FSI- anions to construct a robust inorganic CEI, substantially suppressing transition metal dissolution. As a result, the MPN-enhanced electrolyte enables Li||LMFP full cells to achieve breakthrough cycling stability, maintaining 86.4% capacity after 1,400 cycles at 0.5C while sustaining 300 cycles under lean-lithium conditions (N/P=2). This work establishes a heteroatom-functionalization strategy that transforms conventionally incompatible nitriles into bifunctional interphase regulators, thereby providing a universal platform for constructing durable high-voltage lithium metal batteries.",rsc_html,0,,超稳定表4.5 V 锂金属电池的以太-氮建构体分子工程,"高压锂金属电池(LMBs)在实际应用方面面临一个关键障碍:常规电解解层未能稳定阴极和阳极界面,引发快速降解和安全风险。为了克服这一限制,我们设计了三甲基丙烷(MPN),一种分子定制的乙基乙烷-硝酸添加剂,并将其纳入稀释的高浓度电解解液(DHCE)。计算研究显示,MPN的乙氧乙基乙基乙氧原子重新分配了电子密度和微调Li+溶液,从而有效地避免了氨基金属的臭名昭著再活动。这种分子干预使得两阶段稳定——在锂阳极上,MPN通过微弱但有选择性的李+ Coordin促进亚离子分解。"
In-memory multilevel control of generic SO(m) holonomy in photonics,https://www.nature.com/articles/s41467-026-69287-2,Nature Communications,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"Non-Abelian geometric phases offer fault-tolerant unitary operations that are essential for holonomic quantum computation. While the “all-geometric” approach has successfully enabled robust control of atoms, ions, and electrons in various quantum systems, its photonic implementations have remained limited by a lack of tunability—an essential feature for modern classical or quantum optical information processing. Here, we demonstrate nonvolatile multilevel tunable generic special-orthogonal (SO) geometric phases on a multilayer silicon photonic platform incorporating the phase-change material (PCM) of Sb₂Se₃. By toggling Sb₂Se₃ between crystalline and amorphous states, we dynamically control the number of degenerate states involved in the holonomy, enabling switching between different holonomic paths and SO(m) geometric transformations. Our results bridge the key gap between robust geometric-phase control and in-memory reconfigurable photonics, establishing a paradigm for fault-tolerant, high-dimensional operations in integrated optical systems.",nature_html,0,,对光密中通用 SO(m) 全息性普通 SO(m) 的模拟多级控制,"非亚伯里非几何几何阶段提供了对荷洛omic量量计算至关重要的容错统一操作。 虽然“所有几何”方法成功地实现了对不同量子系统中原子、离子和电子的强力控制,但其光子应用仍因缺乏金枪鱼的特性而受到限制 — — 这是现代古典或量量光学信息处理的基本特征。在这里,我们展示了一个多层硅相光平台上的非挥发性多级金枪鱼可分为的通用特殊正方位(SO)几何级,该平台包含Sb2Se3的相光化材料(PCM PCM ) 。 通过在晶体和不形态状态之间将 Sb2Se3 捆绑在一起,我们动态地控制了参与全息学的衰变国家的数量,使不同的人得以转换。"
"Current trends and challenges in solar PV-integrated battery energy storage technology: Key components, methods, and future prospects",https://www.sciencedirect.com/science/article/pii/S0306261926001133?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,,,0,,太阳能光光电池集电池能源储存技术的当前趋势和挑战:关键组成部分、方法和未来前景,
Assessing conformation validity and rationality of deep learning-generated 3D molecules,https://www.nature.com/articles/s41467-026-69303-5,Nature Communications,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"Recent advancements in artificial intelligence (AI) have revolutionized the field of 3D molecule generation. However, the lack of effective evaluation methods for 3D conformations limits further improvements. Current techniques, in order to achieve the necessary speed for evaluating large number of AI-generated molecules, often rely on empirical geometric metrics that do not adequately capture various conformational anomalies, or on molecular mechanics energy metrics that exhibit low accuracy and lack atomic or torsional details. To address this gap, we propose a two-stage approach that achieves both high speed and quantum mechanical level accuracy. The first stage, termed the validity test, employs an AI-derived force field to identify atoms with elevated energy resulting from implausible neighboring environments. The second stage, known as the rationality test, utilizes a deep learning network trained on data with density functional theory accuracy to detect rotatable bonds with high torsional energies. To demonstrate the functionality of our evaluation system, we applied our approach to five recently reported 3D molecule generation AI models across 102 targets in Directory of Useful Decoys-Enhanced dataset. To facilitate accessibility for the academic community, our method is available as an open-source package.",nature_html,0,,评估深学习产生的3D分子的校正有效性和合理性,"最近人工智能的进步使3D分子生成领域发生了革命性的变化。然而,3D分子生成领域缺乏有效的评估方法,这限制了进一步的改进。当前的技术,为了达到评价大量AI产生的分子的必要速度,往往依赖没有充分捕捉各种相貌异常现象的经验几何测量,或依靠分子力能指标,这些指标显示的精度低,缺乏原子或振动细节。为弥补这一差距,我们建议采取两阶段办法,既能达到高速,又能达到量子机械级的精确度。第一阶段,即有效性测试,采用AI派生的能量场,以辨别因不可信而产生的高能量原子和高能量原子。"
A combinatorial synthetic strategy for developing genome-editing protein-delivery agents targeting mouse retina,https://www.nature.com/articles/s41467-026-69077-w,Nature Communications,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,"CRISPR/Cas9-based gene-editing technologies offer promise for treating inherited retinal diseases (IRDs), however safe and efficient ocular delivery of precision editors remains challenging. To address this challenge, we report a class of Coomassie brilliant blue (CBB)-derived lipidoids that bind and deliver proteins. Subretinal injection of Cre complexed with these lipidoids into mT/mG mice leads to robust recombination in the retinal pigment epithelium and photoreceptors. We employ the CBB-lipidoid platform to deliver adenine base editor (ABE) ribonucleoproteins (RNP). Incorporating CBB lipidoids into liposomes improves delivery efficiency. CBB11 stands out for facilitating precise in vivo ABE-mediated gene editing. Delivery of liposome-CBB11-RNP complexes results in a 120-fold increase in base editing compared to RNP alone and restores the scotopic ERG b-wave response in the rd12 mouse model. These results demonstrate the potential of CBB-augmented, liposome-RNP systems for therapeutic gene editing in the eye, paving the way for single-dose precision medicines to treat IRDs.",nature_html,0,,开发针对鼠视网膜的基因组编辑蛋白交付物剂的组合合成战略,"CRISPR/Cas9基基因编辑技术为治疗遗传性视网膜疾病提供了希望,然而,安全而高效地提供精确编辑的眼部仍具有挑战性。为了应对这一挑战,我们报告有一类由Coomassie 光亮的蓝(CBB)衍生脂质素,将蛋白质捆绑和提供。与这些脂质素相混合的Cre脂质混入 mT/mG小鼠的子脑注射导致对视色猪皮内膜和光感应器进行有力的再组合。我们使用CBB-lipidoid平台来交付腺基编辑(ABE)肋骨蛋白质(RNP),将CBB脂质纳入唇片中提高了交付效率。CBB11致力于为活性ABE代基因精确编辑提供便利。交付脂-CBB11-RNP综合体会导致120倍的增加。"
A coupled material-energy‑carbon flow method for quantifying changes in energy consumption and CO2 emissions of iron and steel sites,https://www.sciencedirect.com/science/article/pii/S030626192600111X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-07 00:00:00 UTC,2026-02-07 00:00:00+00:00,,,,0,,"一种材料-能源-碳碳流动方法,用以量化钢铁场地能源消耗和二氧化碳排放的变化",
