title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Advancing green mobile networks,https://www.nature.com/articles/s41467-026-71562-1,,Nature Communications,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71562-1,Xin Chen,,"Mobile communication is a cornerstone technology in our society, facilitating personal relationships, fostering cooperation, and advancing education. Each generation of this technology has brought new services, from voice calls and messaging to internet access, and now Artificial Intelligence (AI). This transformation has steadily augmented the mobile network resource requirements. Driven by the societal and economical needs to increase the mobile network energy efficiency, reduce its energy consumption and the associated environmental footprint, this comment surveys standardized metrics to assess energy-related network performance and overview data-driven state-of-the-art solutions to accelerate the energy transition of mobile networks. Mobile communication underpins society, evolving from calls to AI and increasing network demands. To cut energy use and environmental impact, this work reviews standardized energy metrics and data-driven solutions for greener mobile networks.",openalex
Flexible resource value considering compulsory power supply for residential loads under extreme weather,https://www.sciencedirect.com/science/article/pii/S0306261926004496?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-04-04 00:00:00+00:00,,Zhifang Yang,,,
High-temperature thermochemical energy storage via reversible fluid-phase based cycles: A review,https://www.sciencedirect.com/science/article/pii/S0306261926003569?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-04-04 00:00:00+00:00,,Yulong Ding,,,
Artificial gauge fields for sculpting topological modes on photonic chips,https://www.nature.com/articles/s41467-026-71402-2,,Nature Communications,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71402-2,Shuang Zhang,,"Topological states, which often manifest as localized modes at interfaces between distinct topological phases, and their manipulation have attracted considerable interest in research. Here, we demonstrate a versatile approach to sculpting topological modes into desired shapes by incorporating various artificial gauge fields —including scalar, vector, and imaginary gauge potentials—and leveraging the power of artificial neural networks. The chose gauge fields enable precise tuning of the dissipation of the topological modes across that of bulk modes, facilitating a transition from localized states to fully delocalized ones. These eigen modes can be precisely engineered by neural networks, achieving tailored profiles of topological states, which remain spectrally isolated from bulk bands and exhibit minimal loss compared to other modes. Our theoretical results are experimentally validated on silicon photonic platforms, demonstrating flexible manipulation of mode profiles. This approach enables the design of topological states with customized properties, offering potential for diverse applications in photonics and beyond.",nature_html
"An in vivo fitness gene of Toxoplasma, MIC11, is essential for PLP1-mediated egress from host cells",https://www.nature.com/articles/s41467-026-71423-x,,Nature Communications,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71423-x,Masahiro Yamamoto,,"After invasion and replication, intracellular pathogens must egress from infected host cells. Toxoplasma gondii facilitates this process by permeabilizing host cells through induced secretion of perforin-like protein 1 (PLP1). However, the precise mechanism of host cell permeabilization remains enigmatic. Here, we identify the secretory microneme protein MIC11 as a key factor for membrane disruption. A CRISPR-based in vivo screen identifies MIC11 as the top in vivo fitness-conferring gene. Deletion of MIC11 results in severe defects in membrane rupture and egress. Scanning mutagenesis identifies functional motifs in MIC11, and mechanistic analyses support an association between MIC11 and PLP1, suggesting that MIC11 is involved in PLP1-dependent membrane disruption. Moreover, the merozoite-specific paralogue MIC22 functionally complements MIC11 deletion, suggesting a conserved mechanism of egress in the feline-restricted stages of T. gondii. Collectively, the discovery of MIC11 advances our understanding of how parasites disrupt host cells to facilitate rapid egress and successful dissemination.",nature_html
Multiscale electric fields direct charges to single-atom cobalt sites for photocatalytic H2 production,https://www.nature.com/articles/s41467-026-71416-w,,Nature Communications,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71416-w,Gang Zhang,,"The photocatalytic efficiency of covalent organic frameworks is often limited by poor charge separation and inaccessible catalytic sites. Here, we overcome these challenges by constructing a biomimetic “alveoli-on-lamina” heterostructure through coordination-directed assembly. This strategy concurrently exfoliates a bulk covalent organic framework into ordered lamellae and creates atomic-scale Co-N/O bridges, anchoring high-density, atomically dispersed cobalt sites. Crucially, this architecture spontaneously generates a multi-scale electric field, integrating a strong interfacial field for charge separation with an intra-structure potential gradient for directional electron transport. This field-driven vectorial charge flow delivers electrons to the catalytic sites, enabling a competitive photocatalytic performance: a hydrogen evolution rate of 534.6 mmol g-1 h-1 under standard irradiation without noble metals, an apparent quantum yield of 90.2% at 500 nm, and retained stability. This work demonstrates that engineering built-in electric fields across multiple scales is a valuable paradigm for advanced solar-to-fuel conversion.",nature_html
What Artemis II’s astronauts will look for on the Moon’s far side,https://www.nature.com/articles/d41586-026-01103-9,,Nature,2026-04-04 00:00:00+00:00,10.1038/d41586-026-01103-9,Alexandra Witze,,,
Improving real-time photovoltaic power delivery through integrated advanced fault localization and particle swarm optimization,https://www.sciencedirect.com/science/article/pii/S0306261926004381?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-04-04 00:00:00+00:00,,Mohamed Benbouzid,,,
Integrated deep learning framework for electric vehicles' flexibility forecasting and optimal dispatch,https://www.sciencedirect.com/science/article/pii/S0306261926004733?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-04-04 00:00:00+00:00,,Changying Xiang,,,
A novel engineering wake model for helix-actuated wind turbine wakes,https://www.sciencedirect.com/science/article/pii/S0306261926004605?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-04-04 00:00:00+00:00,,Jan-Willem van Wingerden,,,
