title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Demountable quinoidal semiconductor nanobackpacks modulate neuro-immune for amplifying second near-infrared photoimmunotherapy of breast cancer,https://www.sciencedirect.com/science/article/pii/S1369702126000490?dgcid=rss_sd_all,ScienceDirect Publication: Materials Today,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,"调整神经免疫系统,以扩大第二次近红外光模拟乳腺癌治疗",
Investigation of lithium plating mechanism based on N/P ratio controlled lithium-ion batteries,https://www.sciencedirect.com/science/article/pii/S0306261926000796?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,根据N/P比率控制锂离子电池组的锂电镀机制调查,
Room-temperature polariton condensate in a quasi-2D hybrid perovskite,https://www.nature.com/articles/s41467-026-68723-7,Nature Communications,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,"Quasi-2D halide perovskites are chemically synthesized realizations of quantum well stacks with giant exciton oscillator strengths, tunable emission spectra, and very large exciton binding energies. While these features render quasi-2D halide perovskites a promising platform for room-temperature polaritonics, bosonic condensation and polariton lasing in quasi-2D perovskites have so far remained elusive at ambient conditions. Here, we demonstrate room-temperature cavity exciton-polariton condensation in mechanically exfoliated crystals of the quasi-2D Ruddlesden-Popper iodide perovskite (BA)2(MA)2Pb3I10 in an open optical microcavity. We observe a polariton condensation threshold of 0.41 µJ cm−2 per pulse and detect a strong non-linear response. Interferometric measurements confirm the spontaneous emergence of spatial coherence across the condensate with an associated first-order autocorrelation reaching 0.6 with 1 ps coherence time and an effective de Broglie wavelength of 13 µm. Our results lay the foundation for a new class of room-temperature polariton lasers based on quasi-2D halide perovskites with great potential for hetero-integration with other van-der-Waals materials and combination with photonic crystals or waveguides.",nature_html,0,,在半-2D混合的千草枯中 室温极地顿凝结,"准二二二D卤化百草枯是化学合成的量子井堆的成份,具有巨大的刺激性振动剂强力、金枪鱼可排放光谱和非常大的异质装配能量。虽然这些特性使准二二D卤化百草枯成为在准二二D千伏丁酯中进行室温极地对极地对地热、bosonic condenation和极地基拉拉的有希望的平台,但迄今在环境条件下仍然难以找到。在这里,我们展示了在开放的光学微型中,半二D-陆基-Popper iodide perovskite(BA2(MA)2Pb3I10 的机械外层晶体中,室温性腔凝聚变异异质异聚变异质凝聚变异异聚度,探测出强烈的非线性反应。干涉测量测量测量结果证实了光谱。"
Vertical chiral emission from an intrinsically achiral metasurface enabled with anisotropic continuum,https://www.nature.com/articles/s41467-026-68728-2,Nature Communications,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,"Manipulating emission polarization is crucial for advanced applications such as polarized fluorescence and lasing, thermal radiation control, stereochemistry and spintronics. Existing approaches for generating circularly polarized emission primarily rely on nanostructures with true chirality, where the far-field polarization at the Γ point is believed to require out-of-plane symmetry breaking. This raises a question: can an intrinsically achiral metasurface that preserves out-of-plane symmetry generate chiral emission? Here, we introduce the concept of anisotropic continuum, defined as a continuum state exhibiting distinct responses for orthogonal polarizations of incidence, as a new degree of freedom for intrinsically achiral metasurfaces. In such metasurfaces, chiral emission arises from manipulating the anisotropic continuum together with the metasurface’s in-plane perturbations. Degrees of circular polarization of 0.83 for upward emission and −0.9 for downward emission are achieved experimentally by integrating the fabricated silicon metasurface with fluorescent organic dyes. Our findings not only address a long-standing gap in the understanding of structural chirality, but also open new opportunities for high-performance applications in polarized fluorescence and thermal emission.",nature_html,0,,具有厌异连续体的内在神经元表层的垂直手动排放,"操纵排放的两极分化对于极化的荧光和悬浮、热辐射控制、立体化学和脊柱体等先进应用至关重要。现有的产生循环两极化排放的方法主要依赖真正有手性的纳米结构,据认为,四点的远场两极化需要飞机外对称分解。 这就提出了一个问题:一个内在的、能保护飞机外对称性产生的对称性排放的神经元表层?在这里,我们引入了厌食连续体的概念,被定义为一个连续状态,对原形两极事件表现出不同的反应,作为本质上的非立体元表层的新自由度。在这种元表层中,出手的导排放来自外形表层。"
Synergistic operation and maintenance enabling lifecycle-aware opportunistic management of offshore wind energy,https://www.sciencedirect.com/science/article/pii/S0306261926000760?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,"协同操作和维护,使沿海风能的利用机会管理具有生命周期意识的离岸风能",
Early detection of aberrant cell fate and repair using circulating progenitor cells in patients with heterotopic ossification,https://www.nature.com/articles/s41467-026-68857-8,Nature Communications,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,"Heterotopic ossification (HO), the abnormal formation of bone in soft tissues, is a debilitating complication that occurs after severe burns, trauma, and joint replacement surgery. Current diagnostic methods detect HO only after substantial progression, limiting opportunities for early intervention. In this study, we show that circulating mesenchymal progenitor cells (cMPCs), isolated using a microfluidic iChip from patients undergoing hip replacement and a mouse model of traumatic HO, exhibit HO-associated gene expression as early as 6 hours post-injury—41 days before radiographic detection. RNA sequencing of cMPCs enabled development of a liquid biopsy-based HO risk prediction model, achieving up to 90% sensitivity and 100% specificity in human subjects. Furthermore, the model detected significant reductions in HO risk following prophylactic treatment, correlating with decreased HO volume. These findings establish a noninvasive platform for early detection and monitoring of HO and suggest broader utility for diseases involving aberrant mesenchymal cell fate. This approach enables high-throughput screening of at-risk patients and real-time assessment of therapeutic efficacy.",nature_html,0,,利用循环的生殖器细胞在异性同位素骨化病人体内循环进行细胞异常转归的早期发现和修复,"目前的诊断方法在严重烧伤、创伤和联合替换手术后才检测HO,这限制了早期干预的机会。在这项研究中,我们表明,循环的中转子细胞(cMPCs)是使用正在更换臀部的病人的微氟化二氟化异丙基芯片和创伤性HO的老鼠模型分离的,在严重烧伤、创伤和联合替换手术之后,是一种衰弱的并发症,在严重烧伤、创伤和联合替换手术之后即出现。目前的诊断方法只有在大幅度进展后才能检测HO,这限制了早期干预的机会。我们在这项研究中表明,循环的中转子细胞(cMPCs)是使用正在更换臀部的病人的微氟化二氟化异丙酯和创伤性HO模型隔离的,早在放射检测到6小时后41天就显示出HO的基因表现。CMPCs的RNA测序使基于液体生物-心理HO风险预测模型得以发展,达到90%的敏感度和100%的人类对象特性。此外,检测到的模型还检测到了90%。"
Decarbonization pathways of Hard-to-Abate sectors through hydrogen blending solutions,https://www.sciencedirect.com/science/article/pii/S0306261926000723?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,"通过混合氢溶液,使硬到缓解部门去碳化途径",
"Cyclic yaw control for wind farm power optimization: The role of Strouhal number, farm configuration, and turbulence intensity",https://www.sciencedirect.com/science/article/pii/S0306261926000711?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,风力农场电力优化的Cyclic yaw控制:斯特劳哈尔号的作用、农场配置和动荡强度,
Dynamic adaptive model predictive control for prosumers-based energy communities,https://www.sciencedirect.com/science/article/pii/S0306261926000693?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,以造票人为基础的能源社区动态适应模型预测控制模型预测控制,
An incentivized cooperative scheme for transmission expansion in a 100% renewable Europe,https://www.sciencedirect.com/science/article/pii/S030626192600067X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-31 00:00:00 UTC,2026-01-31 00:00:00+00:00,,,,0,,促进在100%可再生的欧洲扩大传播的激励合作计划,
