title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Unconventional sub-grain structures formed in additively manufactured metals,https://www.sciencedirect.com/science/article/pii/S1369702126000088?dgcid=rss_sd_all,ScienceDirect Publication: Materials Today,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,以添加性金属制成的金属组成非常规的次级谷物结构,
Coiled-coil heterodimer-mediated split base editing systems enable flexible and robust nucleotide substitutions,https://www.nature.com/articles/s41467-026-68469-2,Nature Communications,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,"Base editors (BEs) enable precise base substitutions, but their size exceeds the packaging capacity of adeno-associated virus (AAV), impeding in vivo applications. Here we design a split BE system that recruits deaminases to Cas9 nickase via coiled-coil heterodimers, resulting in various coiled-coil heterodimers-mediated base editors (CC-BEs), including cytidine base editor (CC-CBE), adenine base editor (CC-ABE), and their derivatives. We reveal that CC-BEs maintain and even improve the editing efficiency of the original unsplit BEs across various cell types and editing scopes, achieving maximum enhancements of 9.6-fold in human immortalized cells and 12.4-fold in primary somatic cells for CC-CBE. Using CC-ABE, we validate in vivo editing efficiency and successfully achieve A-to-G conversion in the Pcsk9 and Dmd genes via dual-AAV vectors in mice. Altogether, we develop a simple and universal strategy to address the challenges posed by the large size of BEs without compromising editing efficiency for base substitutions in vivo.",nature_html,0,,Coiled-cocil 乙基乙酸二乙二酯以分裂式基底编辑系统为灵活和稳健的核分子酸替代系统提供,"基础编辑(BEs)能够进行精确的基准替代,但其规模超过了与乙型病毒(AAV)的包装能力,从而阻碍了体内应用。 我们在这里设计了一个分裂的BE系统,通过凝固的焦化凝固剂混合阳性剂,将消化剂引进Cas9 nickases, 从而导致各种凝固-凝固-凝固剂阳性基编辑(CC-BEs),包括细胞基编辑(CC-CBE)、腺基编辑(CC-ABE)及其衍生物。 我们透露,CC-BEs保持甚至提高各种细胞类型和编辑范围的原未分解的BE的编辑效率,最大限度地提高人类不朽细胞的9.6倍和CC-CBE初级体细胞的12.4倍。 我们利用CC-ABE,验证了细胞编辑效率,并成功实现了A-G共生化。"
Coordinated dispatch of hybrid mobile power sources for distribution network restoration: A dynamic gradient masking embedded multi-agent meta-deep reinforcement learning method,https://www.sciencedirect.com/science/article/pii/S0306261926000292?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,"协调发送混合移动电源,以恢复分配网络:动态梯度遮罩多剂嵌入式多剂元加强学习方法",
Coordinated frequency regulation of fixed-variable speed pumped storage hybrid systems: an adaptive control framework integrating dynamic prediction and rolling optimization,https://www.sciencedirect.com/science/article/pii/S0306261926000279?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,"固定可变速度泵式储存混合系统的协调频率调控:适应性控制框架,结合动态预测和滚动优化",
Physics-informed neural network for dynamic energy flow calculation in integrated electricity and gas systems,https://www.sciencedirect.com/science/article/pii/S0306261926000267?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,为综合电力和煤气系统动态能源流量计算而建立物理知情神经网络,
Exposure of western United States bird communities to predicted high severity fire,https://www.nature.com/articles/s41467-026-68480-7,Nature Communications,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,"Fire is a pervasive biogeographic process that shapes biodiversity globally and is now experiencing unprecedented changes. Despite well documented impacts of fires on biodiversity, we do not know where biodiversity might be most vulnerable to changing fire regimes. We leverage recent advancements in fire forecasting and species distribution modeling to assess the exposure of bird species richness, community uniqueness, and functional richness to altered fire regimes in the western United States. We find that 55-58% of biodiversity hotspots are classified as “refugia”, where high biodiversity intersects with predicted low severity burn areas. In contrast, 24-30% of biodiversity hotspots are classified as “areas of concern”, where high biodiversity intersected with predicted high severity burn areas. Over half (52-60%) of “areas of concern” occur in geographies with historically low-severity fire regimes; a fire regime mismatch indicating a potential threat to biodiversity. We find that species with a preference for high-density vegetation and with shallower beak depth are most likely to be exposed to high severity fire, indicating a potential for habitat losses for species with these traits. Our findings reinforce calls for targeted management to reduce impacts of future fire where it is predicted to be outside the historical range of variation.",nature_html,0,,"美国西部鸟群接触美国西部鸟类社区,预测大火会发生严重火灾","火灾是影响全球生物多样性的一个普遍的生物地理过程,目前正在经历前所未有的变化。尽管火灾对生物多样性产生了有详细记载的影响,但我们不知道生物多样性在哪些地方最容易受到不断变化的火灾制度的影响。 我们利用最近火灾预测和物种分布模型的进展来评估美国西部鸟类物种丰富性、社区独特性和功能丰富的暴露程度,以评估鸟类物种丰富性、社区独特性和改变火灾制度的功能丰富性。我们发现,55-58%的生物多样性热点被归类为“refugia ”,那里生物多样性高,与预计的低强度燃烧区交错。相比之下,24-30%的生物多样性热点被归类为“关切领域 ”, 高生物多样性与预测的高度严重程度交错。"
Author Correction: A hollow-tube-like hydrospongel for multimodal therapy of advanced colorectal cancer,https://www.nature.com/articles/s41467-026-68519-9,Nature Communications,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,作者更正: 用于高级直肠癌多式治疗的空管式类似海绵,
Load restoration strategy for post-disaster distribution networks considering cyber-physical-traffic coupling with multi-resource collaboration,https://www.sciencedirect.com/science/article/pii/S0306261926000255?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,考虑将网络-物理-交通与多资源协作连接起来的灾后分配网络的负载恢复战略,
Solar energy transition under IMF conditionality: Distributive justice and energy policy imperative in Pakistan,https://www.sciencedirect.com/science/article/pii/S0301421526000042?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,基金组织条件条件下的太阳能过渡:巴基斯坦分配正义和能源政策的当务之急,
A flexible hybrid-energy heat pump using efficient ionic liquids for sustainable solar cooling,https://www.sciencedirect.com/science/article/pii/S0306261926000243?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-17 00:00:00 UTC,2026-01-17 00:00:00+00:00,,,,0,,利用高效的电离液进行可持续太阳能冷却的灵活混合能源热泵,
