title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Large-scale modeling of solar water pumps using machine learning,https://www.sciencedirect.com/science/article/pii/S0306261925019981?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,"利用机械学习,大规模模拟太阳能水泵太阳能水泵",
The poetic life and death of a glow-worm,https://www.nature.com/articles/d41586-025-03990-w,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,一种发光虫的诗意生与死,
Economic autonomous operation of microgrids on islands with renewable energy interactions: A satellite-aided over-the-air federated reinforcement learning approach,https://www.sciencedirect.com/science/article/pii/S0306261925020549?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,具有可再生能源互动的岛屿上微型电网的经济自主运行:卫星辅助的超空联合强化学习方法,
Public-private partnership in energy investment and inclusive growth,https://www.sciencedirect.com/science/article/pii/S0301421525005178?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,能源投资和包容性增长方面的公私伙伴关系,
TOMATOES: Topology and material optimization for latent heat thermal energy storage devices,https://www.sciencedirect.com/science/article/pii/S0306261925020525?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,托马托斯:潜在热热能储存装置的地形和材料优化,
The marketization of green electricity trading and investment decisions of new energy enterprises,https://www.sciencedirect.com/science/article/pii/S0301421525005440?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,绿色电力贸易的市场化和新能源企业的投资决定,
Help small-scale gold miners to transition away from mercury use,https://www.nature.com/articles/d41586-025-04121-1,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,帮助小规模金矿开采者逐步不再使用汞,
"Geopolitical fragmentation and energy transition inequalities: Climate policy uncertainty, sanctions, and the oil and gas sector",https://www.sciencedirect.com/science/article/pii/S0301421525005555?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,地缘政治分裂和能源过渡不平等:气候政策的不确定性、制裁以及石油和天然气部门,
"To improve resilience to climate change, track what endures",https://www.nature.com/articles/d41586-025-04122-0,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,"为提高抵御气候变化的能力,跟踪持续情况",
Rethink how we build AI to enable effective climate-change mitigation,https://www.nature.com/articles/d41586-025-04123-z,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,"重新思考我们如何建立大赦国际,以便有效地缓解气候变化",
Innovations and prospects on functional membrane design for advanced redox flow batteries,https://www.sciencedirect.com/science/article/pii/S030626192502046X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,先进的红氧化物流动电池功能性膜设计的创新和前景,
Retire ‘seminal’ from the scientific vocabulary,https://www.nature.com/articles/d41586-025-04124-y,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,科学词汇中的退休`seminal ',
Daily briefing: Animals without brains sleep too — hinting at why we sleep at all,https://www.nature.com/articles/d41586-026-00047-4,Nature,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,每日简报:没有大脑的动物也睡不着——暗示为什么我们睡觉,
Co-combustion of ammonia in coal-fired power plants in ASEAN,https://www.sciencedirect.com/science/article/pii/S0301421525005579?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-06 00:00:00 UTC,2026-01-06 00:00:00+00:00,,,,0,,东盟燃煤发电厂氨水联燃,
